1746526904.0112383 N:   18, t: 40071337, dt: 20286, ENC_DEG: 40.17, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.05, I: -2.83, D:  0.30, VEL_OUT: -3.15, MS_MPC: 28505.33, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.18, gy: -0.46, gz: -0.49, OX: -0.05
1746526904.0175302 N:   19, t: 40095760, dt: 24423, ENC_DEG: 40.12, REF:  0.00, VEL_RAW: -1.80, VEL_AVG: -0.02, I: -2.85, D:  0.03, VEL_OUT: -5.56, MS_MPC: 28500.25, ax:  0.00, ay:  0.01, az:  1.01, gx: -0.06, gy: -0.34, gz: -0.92, OX: -0.08
1746526904.022511  N:   22, t: 40157035, dt: 26090, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  0.84, VEL_AVG: -0.09, I: -3.26, D:  0.17, VEL_OUT: -5.75, MS_MPC: 28502.79, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.03, gz: -0.49, OX: -0.03
1746526904.0294182 N:   24, t: 40210998, dt: 16976, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -2.59, VEL_AVG:  0.02, I: -3.29, D: -0.01, VEL_OUT: -6.82, MS_MPC: 28502.79, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.06, gy:  0.27, gz:  0.31, OX: -0.02
1746526904.1263561 N:   25, t: 40251589, dt: 40591, ENC_DEG: 40.17, REF:  0.00, VEL_RAW:  0.54, VEL_AVG: -0.03, I: -3.32, D: -0.01, VEL_OUT: -7.05, MS_MPC: 28505.33, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.49, gy:  0.27, gz:  0.31, OX:  0.03
1746526904.1337159 N:   26, t: 40270926, dt: 19337, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.32, I: -3.63, D: -0.29, VEL_OUT: -13.29, MS_MPC: 28502.79, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.67, gy: -0.09, gz:  0.61, OX:  0.05
1746526904.1396954 N:   27, t: 40291163, dt: 20237, ENC_DEG: 40.19, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.05, I: -3.69, D:  0.26, VEL_OUT: -5.31, MS_MPC: 28507.87, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.55, gy: -0.15, gz:  0.24, OX:  0.05
1746526904.1456785 N:   28, t: 40314423, dt: 23260, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -1.89, VEL_AVG: -0.21, I: -3.90, D: -0.16, VEL_OUT: -11.49, MS_MPC: 28502.79, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.67, gy:  0.15, gz: -0.12, OX: -0.02
1746526904.1506705 N:   30, t: 40351834, dt: 19195, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  2.29, VEL_AVG: -0.30, I: -4.50, D:  0.01, VEL_OUT: -11.85, MS_MPC: 28502.79, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.79, gy:  0.76, gz:  0.37, OX: -0.04
1746526904.156651  N:   31, t: 40371057, dt: 19223, ENC_DEG: 40.26, REF:  0.00, VEL_RAW:  5.72, VEL_AVG:  0.33, I: -4.83, D: -0.04, VEL_OUT: -13.33, MS_MPC: 28515.46, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.55, gy:  0.64, gz:  1.04, OX:  0.10
