1746526682.427257  N:   22, t: 24002987, dt: 19229, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -3.36, D:  0.09, VEL_OUT: -6.77, MS_MPC: 22081.18, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.85, gy:  0.12, gz:  1.50, OX:  0.02
1746526682.4327116 N:   23, t: 24023294, dt: 20307, ENC_DEG:  4.73, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.38, I: -3.73, D: -0.28, VEL_OUT: -14.05, MS_MPC: 22070.94, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.73, gy:  0.12, gz:  1.68, OX:  0.06
1746526682.4864547 N:   24, t: 24042619, dt: 19325, ENC_DEG:  4.81, REF:  0.00, VEL_RAW:  4.55, VEL_AVG:  0.00, I: -3.74, D:  0.37, VEL_OUT: -3.77, MS_MPC: 22091.43, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.67, gy:  0.00, gz:  1.19, OX:  0.02
1746526682.4931452 N:   25, t: 24064231, dt: 21612, ENC_DEG:  4.77, REF:  0.00, VEL_RAW: -2.03, VEL_AVG: -0.19, I: -3.93, D: -0.19, VEL_OUT: -11.65, MS_MPC: 22081.18, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.37, gy:  0.31, gz:  0.58, OX: -0.06
1746526682.4985018 N:   26, t: 24084299, dt: 20068, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.10, I: -4.03, D:  0.09, VEL_OUT: -8.16, MS_MPC: 22076.06, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.00, gz:  0.34, OX: -0.08
1746526682.505244  N:   27, t: 24102461, dt: 18162, ENC_DEG:  4.73, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.11, I: -4.14, D: -0.01, VEL_OUT: -9.42, MS_MPC: 22070.94, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.12, gz:  0.89, OX:  0.17
1746526682.5476968 N:   28, t: 24122610, dt: 20149, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.28, I: -4.42, D: -0.17, VEL_OUT: -13.36, MS_MPC: 22070.94, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.06, gz:  0.46, OX:  0.03
1746526682.6042345 N:   29, t: 24142967, dt: 20357, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  2.16, VEL_AVG: -0.00, I: -4.42, D:  0.28, VEL_OUT: -6.12, MS_MPC: 22081.18, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.43, gy:  0.24, gz: -0.58, OX: -0.04
1746526682.610255  N:   30, t: 24163276, dt: 20309, ENC_DEG:  4.81, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.09, I: -4.51, D: -0.08, VEL_OUT: -10.70, MS_MPC: 22091.43, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.92, gy:  0.43, gz: -0.82, OX: -0.10
1746526682.664458  N:   31, t: 24184902, dt: 21626, ENC_DEG:  4.77, REF:  0.00, VEL_RAW: -2.03, VEL_AVG:  0.11, I: -4.62, D: -0.03, VEL_OUT: -10.67, MS_MPC: 22081.18, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.67, gy:  0.37, gz: -0.40, OX: -0.06
1746526682.6708536 N:   32, t: 24203084, dt: 18182, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.10, I: -4.73, D:  0.01, VEL_OUT: -10.39, MS_MPC: 22076.06, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.61, gy:  0.18, gz: -0.21, OX:  0.04
1746526682.7870603 N:   33, t: 24228616, dt: 25532, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  0.86, VEL_AVG: -0.00, I: -4.73, D:  0.10, VEL_OUT: -8.43, MS_MPC: 22081.18, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy:  0.12, gz:  0.03, OX:  0.04
1746526682.8433764 N:   34, t: 24244719, dt: 16103, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -4.73, D:  0.00, VEL_OUT: -9.47, MS_MPC: 22081.18, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.24, gz: -0.27, OX:  0.05
1746526682.903191  N:   36, t: 24283124, dt: 19240, ENC_DEG:  4.77, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.20, I: -5.30, D:  0.17, VEL_OUT: -10.87, MS_MPC: 22081.18, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.12, gy:  0.49, gz:  0.64, OX:  0.09
1746526682.9091961 N:   37, t: 24304806, dt: 21682, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -3.04, VEL_AVG: -0.28, I: -5.58, D: -0.08, VEL_OUT: -14.83, MS_MPC: 22065.81, ax: -0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.49, gz:  0.64, OX:  0.11
1746526682.9658108 N:   42, t: 24404789, dt: 20494, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.57, I: -6.80, D: -0.27, VEL_OUT: -22.03, MS_MPC: 22065.81, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.92, gy: -0.12, gz: -0.34, OX: -0.07
1746526682.9717388 N:   44, t: 24443125, dt: 19149, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -3.44, VEL_AVG: -0.11, I: -6.99, D: -0.04, VEL_OUT: -15.49, MS_MPC: 22076.06, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.73, gy:  0.31, gz:  1.01, OX:  0.04
1746526682.9778447 N:   46, t: 24503307, dt: 19237, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -7.27, D:  0.00, VEL_OUT: -15.93, MS_MPC: 22081.18, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.85, gy: -1.04, gz:  0.58, OX: -0.01
1746526682.983914  N:   47, t: 24544088, dt: 40781, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  0.54, VEL_AVG: -0.29, I: -7.55, D: -0.15, VEL_OUT: -19.42, MS_MPC: 22086.31, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.49, gy: -0.18, gz:  0.09, OX:  0.11
1746526683.0869951 N:   49, t: 24587755, dt: 23446, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -7.85, D:  0.25, VEL_OUT: -13.40, MS_MPC: 22076.06, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.31, gy: -0.18, gz:  0.21, OX: -0.03
1746526683.0929792 N:   50, t: 24606896, dt: 19141, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -8.07, D: -0.19, VEL_OUT: -20.19, MS_MPC: 22076.06, ax: -0.00, ay:  0.01, az:  1.01, gx:  0.12, gy: -0.18, gz: -0.09, OX: -0.09
1746526683.2017515 N:   51, t: 24623032, dt: 16136, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  2.72, VEL_AVG:  0.01, I: -8.08, D:  0.20, VEL_OUT: -14.26, MS_MPC: 22086.31, ax: -0.00, ay:  0.01, az:  1.01, gx:  0.18, gy: -0.31, gz:  0.46, OX:  0.04
1746526683.2077343 N:   52, t: 24642575, dt: 19543, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -8.21, D: -0.12, VEL_OUT: -18.87, MS_MPC: 22086.31, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.49, gy: -0.31, gz:  0.34, OX:  0.01
1746526683.2136667 N:   55, t: 24703445, dt: 20681, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  1.06, VEL_AVG: -0.43, I: -8.74, D: -0.39, VEL_OUT: -25.64, MS_MPC: 22070.94, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.92, gy:  0.31, gz:  0.89, OX:  0.10
1746526683.220651  N:   56, t: 24723585, dt: 20140, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.04, I: -8.78, D:  0.39, VEL_OUT: -14.09, MS_MPC: 22081.18, ax: -0.00, ay:  0.02, az:  1.00, gx:  1.10, gy:  0.31, gz:  0.34, OX:  0.04
1746526683.226673  N:   60, t: 24809250, dt: 25988, ENC_DEG:  4.81, REF:  0.00, VEL_RAW:  4.23, VEL_AVG:  0.23, I: -9.60, D:  0.08, VEL_OUT: -20.69, MS_MPC: 22091.43, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.49, gz:  0.21, OX:  0.02
