1746526525.0569606 N:   25, t: 30545526, dt: 18975, ENC_DEG:  3.30, REF:  0.00, VEL_RAW: -2.32, VEL_AVG: -0.28, I: -3.50, D: -0.13, VEL_OUT: -11.13, MS_MPC: 21735.52, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.09, gy: -0.37, gz: -0.00, OX: -0.05
1746526525.0629132 N:   30, t: 30646173, dt: 20990, ENC_DEG:  3.41, REF:  0.00, VEL_RAW:  2.09, VEL_AVG:  0.27, I: -4.55, D: -0.01, VEL_OUT: -11.90, MS_MPC: 21761.48, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.46, gy:  0.00, gz:  0.98, OX:  0.03
1746526525.068259  N:   32, t: 30684960, dt: 19290, ENC_DEG:  3.30, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.44, I: -4.99, D: -0.43, VEL_OUT: -18.72, MS_MPC: 21735.52, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.34, gy:  0.00, gz:  0.18, OX: -0.01
1746526525.0742693 N:   33, t: 30725804, dt: 40844, ENC_DEG:  3.39, REF:  0.00, VEL_RAW:  2.15, VEL_AVG:  0.04, I: -5.03, D:  0.40, VEL_OUT: -6.37, MS_MPC: 21756.29, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.89, gy:  0.18, gz: -0.18, OX:  0.29
1746526525.0799735 N:   34, t: 30747122, dt: 21318, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -2.06, VEL_AVG: -0.40, I: -5.43, D: -0.36, VEL_OUT: -18.48, MS_MPC: 21745.90, ax:  0.01, ay: -0.00, az:  1.00, gx:  1.25, gy:  0.31, gz: -1.10, OX: -0.11
1746526525.1071734 N:   35, t: 30765680, dt: 18558, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  1.18, VEL_AVG: -0.02, I: -5.44, D:  0.38, VEL_OUT: -7.22, MS_MPC: 21751.10, ax:  0.01, ay: -0.01, az:  1.00, gx:  1.01, gy:  0.43, gz: -0.92, OX: -0.11
1746526525.1661403 N:   36, t: 30786012, dt: 20332, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.19, I: -5.63, D: -0.18, VEL_OUT: -14.95, MS_MPC: 21745.90, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.58, gy:  0.18, gz:  0.18, OX:  0.04
1746526525.1716812 N:   37, t: 30805196, dt: 19184, ENC_DEG:  3.32, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.09, I: -5.73, D:  0.10, VEL_OUT: -11.43, MS_MPC: 21740.71, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.27, gy:  0.24, gz:  0.61, OX:  0.00
1746526525.177003  N:   38, t: 30825135, dt: 19939, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  2.21, VEL_AVG: -0.18, I: -5.91, D: -0.09, VEL_OUT: -14.55, MS_MPC: 21751.10, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.15, gy:  0.12, gz:  0.73, OX:  0.00
1746526525.1832135 N:   39, t: 30844348, dt: 19213, ENC_DEG:  3.30, REF:  0.00, VEL_RAW: -3.43, VEL_AVG: -0.47, I: -6.38, D: -0.29, VEL_OUT: -20.31, MS_MPC: 21735.52, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.34, gy:  0.24, gz:  0.98, OX:  0.07
1746526525.2247047 N:   40, t: 30868855, dt: 24507, ENC_DEG:  3.32, REF:  0.00, VEL_RAW:  0.90, VEL_AVG: -0.31, I: -6.69, D:  0.16, VEL_OUT: -14.84, MS_MPC: 21740.71, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.70, gy:  0.24, gz:  0.79, OX:  0.04
1746526525.2309294 N:   41, t: 30884874, dt: 16019, ENC_DEG:  3.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.40, I: -7.09, D: -0.09, VEL_OUT: -19.16, MS_MPC: 21740.71, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.64, gy:  0.00, gz:  0.67, OX:  0.05
1746526525.2846808 N:   42, t: 30905569, dt: 20695, ENC_DEG:  3.39, REF:  0.00, VEL_RAW:  3.19, VEL_AVG: -0.31, I: -7.40, D:  0.09, VEL_OUT: -17.01, MS_MPC: 21756.29, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.58, gy: -0.06, gz:  0.49, OX: -0.02
1746526525.2909944 N:   43, t: 30925178, dt: 19609, ENC_DEG:  3.36, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.03, I: -7.43, D:  0.28, VEL_OUT: -12.33, MS_MPC: 21751.10, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.21, gy:  0.00, gz:  0.24, OX:  0.07
1746526525.34458   N:   44, t: 30944417, dt: 19239, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.03, I: -7.46, D: -0.00, VEL_OUT: -15.22, MS_MPC: 21745.90, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.15, gy:  0.24, gz: -0.12, OX:  0.02
1746526525.4639595 N:   45, t: 30966846, dt: 22429, ENC_DEG:  3.34, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -7.67, D: -0.18, VEL_OUT: -19.22, MS_MPC: 21745.90, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.52, gy:  0.12, gz: -0.73, OX: -0.08
1746526525.4689913 N:   46, t: 30985410, dt: 18564, ENC_DEG:  3.34, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -7.71, D:  0.17, VEL_OUT: -14.07, MS_MPC: 21745.90, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.52, gy:  0.00, gz: -0.43, OX: -0.07
1746526525.475929  N:   47, t: 31005285, dt: 19875, ENC_DEG:  3.34, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -7.84, D: -0.10, VEL_OUT: -18.03, MS_MPC: 21745.90, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.46, gy: -0.12, gz:  0.12, OX:  0.01
1746526525.481912  N:   48, t: 31029562, dt: 24277, ENC_DEG:  3.32, REF:  0.00, VEL_RAW: -0.91, VEL_AVG: -0.12, I: -7.96, D:  0.01, VEL_OUT: -16.99, MS_MPC: 21740.71, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.34, gy:  0.06, gz:  0.18, OX: -0.00
1746526525.4868991 N:   52, t: 31106115, dt: 15044, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  4.38, VEL_AVG:  0.21, I: -8.87, D: -0.13, VEL_OUT: -21.10, MS_MPC: 21751.10, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.09, gy: -0.31, gz:  0.37, OX:  0.02
1746526525.4928827 N:   53, t: 31145807, dt: 39692, ENC_DEG:  3.30, REF:  0.00, VEL_RAW: -1.66, VEL_AVG:  0.07, I: -8.94, D:  0.14, VEL_OUT: -17.20, MS_MPC: 21735.52, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.46, gy: -0.06, gz:  0.37, OX:  0.00
1746526525.5836673 N:   54, t: 31167772, dt: 21965, ENC_DEG:  3.43, REF:  0.00, VEL_RAW:  6.00, VEL_AVG:  0.31, I: -9.24, D: -0.23, VEL_OUT: -23.89, MS_MPC: 21766.67, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.15, gy:  0.18, gz:  1.16, OX:  0.03
1746526525.5894938 N:   55, t: 31186193, dt: 18421, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -4.77, VEL_AVG:  0.00, I: -9.24, D:  0.30, VEL_OUT: -15.46, MS_MPC: 21745.90, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.03, gy:  0.18, gz:  0.85, OX: -0.06
1746526525.7008932 N:   56, t: 31206751, dt: 20558, ENC_DEG:  3.39, REF:  0.00, VEL_RAW:  2.14, VEL_AVG:  0.27, I: -9.52, D: -0.27, VEL_OUT: -24.51, MS_MPC: 21756.29, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.15, gy:  0.18, gz:  0.55, OX: -0.01
1746526525.7068772 N:   57, t: 31224922, dt: 18171, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -2.42, VEL_AVG:  0.07, I: -9.59, D:  0.20, VEL_OUT: -17.90, MS_MPC: 21745.90, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.46, gy:  0.00, gz:  0.55, OX:  0.03
1746526525.7128584 N:   59, t: 31264595, dt: 13485, ENC_DEG:  3.39, REF:  0.00, VEL_RAW:  3.26, VEL_AVG:  0.34, I: -10.01, D: -0.27, VEL_OUT: -26.18, MS_MPC: 21756.29, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.27, gy: -0.06, gz:  1.46, OX:  0.10
1746526525.7183783 N:   60, t: 31289103, dt: 24508, ENC_DEG:  3.36, REF:  0.00, VEL_RAW: -0.90, VEL_AVG:  0.34, I: -10.35, D: -0.00, VEL_OUT: -24.16, MS_MPC: 21751.10, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.09, gy:  0.31, gz:  0.73, OX:  0.00
1746526525.7238815 N:   64, t: 31364518, dt: 19084, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.13, I: -11.40, D:  0.27, VEL_OUT: -21.42, MS_MPC: 21751.10, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.46, gy:  0.12, gz:  0.67, OX: -0.03
