1746526287.6821492 N:   19, t: 25746745, dt: 18987, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -2.31, VEL_AVG: -0.05, I: -2.30, D:  0.17, VEL_OUT: -3.40, MS_MPC: 24105.47, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy: -0.15, gz: -0.67, OX: -0.05
1746526287.6881216 N:   20, t: 25765251, dt: 18506, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  1.19, VEL_AVG:  0.12, I: -2.42, D: -0.06, VEL_OUT: -6.67, MS_MPC: 24110.10, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.34, gz:  0.00, OX:  0.01
1746526287.8010504 N:   21, t: 25786040, dt: 20789, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  2.11, VEL_AVG:  0.05, I: -2.47, D:  0.07, VEL_OUT: -4.81, MS_MPC: 24119.33, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.34, gz:  0.00, OX:  0.02
1746526287.8060822 N:   23, t: 25828135, dt: 22076, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  1.99, VEL_AVG:  0.04, I: -2.64, D:  0.08, VEL_OUT: -4.92, MS_MPC: 24110.10, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.37, gy:  0.15, gz: -0.55, OX:  0.01
1746526287.8597748 N:   26, t: 25887395, dt: 21990, ENC_DEG: 13.91, REF:  0.00, VEL_RAW: -1.00, VEL_AVG: -0.00, I: -2.96, D:  0.16, VEL_OUT: -4.38, MS_MPC: 24110.10, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.76, gz: -0.12, OX:  0.03
1746526287.8666117 N:   27, t: 25908639, dt: 21244, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -2.96, D:  0.00, VEL_OUT: -5.96, MS_MPC: 24110.10, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.18, gy:  0.64, gz:  0.00, OX:  0.02
1746526287.8726006 N:   30, t: 25968727, dt: 16998, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -1.29, VEL_AVG: -0.24, I: -3.36, D: -0.19, VEL_OUT: -11.07, MS_MPC: 24105.47, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.43, gy:  0.21, gz:  0.00, OX: -0.10
1746526287.878618  N:   31, t: 26005626, dt: 36899, ENC_DEG: 13.93, REF:  0.00, VEL_RAW:  1.19, VEL_AVG:  0.05, I: -3.41, D:  0.19, VEL_OUT: -5.44, MS_MPC: 24114.71, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.15, gz:  0.61, OX: -0.10
1746526287.8846385 N:   34, t: 26071289, dt: 24250, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  0.91, VEL_AVG:  0.22, I: -3.99, D:  0.01, VEL_OUT: -10.03, MS_MPC: 24119.33, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.64, gz:  0.98, OX: -0.01
1746526287.921623  N:   35, t: 26086263, dt: 14974, ENC_DEG: 13.93, REF:  0.00, VEL_RAW: -1.47, VEL_AVG: -0.07, I: -4.07, D:  0.14, VEL_OUT: -7.44, MS_MPC: 24114.71, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.24, gy:  0.89, gz:  1.16, OX:  0.03
1746526287.9787252 N:   36, t: 26105417, dt: 19154, ENC_DEG: 13.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.28, I: -4.34, D: -0.20, VEL_OUT: -13.45, MS_MPC: 24114.71, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.49, gy:  0.52, gz:  0.55, OX: -0.02
1746526287.9853787 N:   37, t: 26125645, dt: 20228, ENC_DEG: 13.98, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.00, I: -4.34, D:  0.27, VEL_OUT: -5.97, MS_MPC: 24123.95, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.43, gy:  0.70, gz:  0.12, OX:  0.01
1746526287.9903831 N:   38, t: 26146065, dt: 20420, ENC_DEG: 13.95, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.00, I: -4.35, D: -0.00, VEL_OUT: -8.77, MS_MPC: 24119.33, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.55, gy:  0.40, gz: -0.43, OX: -0.02
1746526287.9967952 N:   39, t: 26165336, dt: 19271, ENC_DEG: 13.91, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.19, I: -4.54, D: -0.19, VEL_OUT: -12.93, MS_MPC: 24110.10, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.40, gz: -0.49, OX:  0.08
