1746526025.6622434 N:   19, t: 89324209, dt: 20199, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.14, I: -2.14, D: -0.09, VEL_OUT: -6.59, MS_MPC: 26742.45, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.06, gy: -0.12, gz: -0.52, OX: -0.08
1746526025.6685505 N:   20, t: 89343163, dt: 18954, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.04, I: -2.18, D:  0.10, VEL_OUT: -3.73, MS_MPC: 26746.12, ax:  0.00, ay: -0.02, az:  1.01, gx: -0.18, gy: -0.06, gz: -0.09, OX: -0.03
1746526025.674337  N:   21, t: 89362171, dt: 19008, ENC_DEG: 27.80, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.12, I: -2.30, D: -0.08, VEL_OUT: -6.57, MS_MPC: 26742.45, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.12, gy:  0.31, gz:  0.52, OX: -0.00
1746526025.6803844 N:   24, t: 89420538, dt: 17121, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  2.57, VEL_AVG:  0.23, I: -2.97, D: -0.12, VEL_OUT: -9.41, MS_MPC: 26746.12, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.49, gy: -0.18, gz:  0.89, OX: -0.15
1746526025.839964  N:   25, t: 89520610, dt: 100072, ENC_DEG: 27.86, REF:  0.00, VEL_RAW:  0.44, VEL_AVG:  0.44, I: -3.41, D: -0.21, VEL_OUT: -13.30, MS_MPC: 26753.44, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.67, gz:  0.40, OX:  0.32
1746526025.8459494 N:   26, t: 89546165, dt: 25555, ENC_DEG: 27.77, REF:  0.00, VEL_RAW: -3.44, VEL_AVG:  0.15, I: -3.56, D:  0.29, VEL_OUT: -5.77, MS_MPC: 26738.78, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.49, gy:  0.18, gz:  0.09, OX: -0.03
1746526025.8993125 N:   27, t: 89565187, dt: 19022, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  2.31, VEL_AVG:  0.25, I: -3.81, D: -0.10, VEL_OUT: -11.08, MS_MPC: 26746.12, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.55, gy:  0.37, gz:  0.15, OX: -0.02
1746526025.905303  N:   28, t: 89583918, dt: 18731, ENC_DEG: 27.80, REF:  0.00, VEL_RAW: -1.17, VEL_AVG: -0.05, I: -3.86, D:  0.20, VEL_OUT: -6.23, MS_MPC: 26742.45, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.67, gy:  0.98, gz:  0.15, OX:  0.07
1746526025.9113252 N:   32, t: 89660642, dt: 17087, ENC_DEG: 27.84, REF:  0.00, VEL_RAW:  3.86, VEL_AVG:  0.18, I: -4.57, D: -0.13, VEL_OUT: -12.27, MS_MPC: 26749.78, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy:  0.73, gz:  0.40, OX:  0.16
1746526025.917564  N:   33, t: 89700568, dt: 39926, ENC_DEG: 27.82, REF:  0.00, VEL_RAW: -0.55, VEL_AVG:  0.23, I: -4.80, D: -0.05, VEL_OUT: -12.40, MS_MPC: 26746.12, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.24, gy:  1.28, gz:  0.64, OX: -0.03
1746526025.9604342 N:   36, t: 89760183, dt: 19457, ENC_DEG: 27.80, REF:  0.00, VEL_RAW: -3.39, VEL_AVG: -0.01, I: -5.35, D:  0.48, VEL_OUT: -6.02, MS_MPC: 26742.45, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.43, gy:  0.24, gz:  0.34, OX:  0.04
1746526025.9659843 N:   37, t: 89783897, dt: 23714, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  0.93, VEL_AVG:  0.03, I: -5.38, D: -0.02, VEL_OUT: -11.29, MS_MPC: 26746.12, ax:  0.00, ay: -0.00, az:  0.99, gx: -0.43, gy: -0.18, gz:  0.15, OX:  0.06
1746526025.9719317 N:   38, t: 89799926, dt: 16029, ENC_DEG: 27.73, REF:  0.00, VEL_RAW: -5.48, VEL_AVG: -0.14, I: -5.52, D: -0.11, VEL_OUT: -13.51, MS_MPC: 26731.44, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.18, gz:  0.15, OX:  0.03
1746526026.019087  N:   39, t: 89819861, dt: 19935, ENC_DEG: 27.75, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.24, I: -5.76, D: -0.10, VEL_OUT: -14.93, MS_MPC: 26735.11, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.31, gz:  0.21, OX: -0.04
1746526026.0252814 N:   40, t: 89840171, dt: 20310, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.04, I: -5.80, D:  0.20, VEL_OUT: -9.97, MS_MPC: 26742.45, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.12, gy: -0.18, gz:  0.03, OX: -0.07
1746526026.031281  N:   41, t: 89860258, dt: 20087, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -5.86, D: -0.02, VEL_OUT: -12.47, MS_MPC: 26742.45, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.18, gz:  0.15, OX:  0.05
1746526026.079052  N:   42, t: 89882425, dt: 22167, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -5.91, D:  0.00, VEL_OUT: -12.40, MS_MPC: 26742.45, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.73, gy: -0.24, gz: -0.46, OX: -0.02
1746526026.1346836 N:   43, t: 89899487, dt: 17062, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -6.01, D: -0.04, VEL_OUT: -13.47, MS_MPC: 26742.45, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.73, gy: -0.18, gz: -0.58, OX: -0.03
1746526026.1406672 N:   44, t: 89919655, dt: 20168, ENC_DEG: 27.84, REF:  0.00, VEL_RAW:  2.18, VEL_AVG: -0.04, I: -6.05, D:  0.06, VEL_OUT: -11.89, MS_MPC: 26749.78, ax:  0.01, ay: -0.02, az:  1.01, gx:  0.31, gy:  0.00, gz: -0.64, OX: -0.05
1746526026.146574  N:   45, t: 89940172, dt: 20517, ENC_DEG: 27.80, REF:  0.00, VEL_RAW: -2.14, VEL_AVG: -0.17, I: -6.23, D: -0.13, VEL_OUT: -15.50, MS_MPC: 26742.45, ax:  0.01, ay: -0.02, az:  1.01, gx:  0.18, gy:  0.18, gz: -0.15, OX: -0.03
