time,Index
5.2265625,1173.319014
9.34375,809.061366
13.1171875,1042.500946
16.6171875,1183.414928
20.1328125,820.8937
23.3359375,1053.980785
26.328125,829.644644
29.9296875,1190.820772
33.296875,1054.933024
36.1171875,828.620388
39.0625,1058.98713
41.90625,1186.090901
44.765625,1054.480275
47.84375,1197.970831
50.703125,819.167087
53.8125,1064.703507
56.71875,828.091856
59.6015625,1193.844954
62.65625,1189.481559
65.390625,1061.301399
68.296875,822.427617
71.203125,1062.656895
74.046875,1194.860722
77.4765625,849.111008
79.8125,1193.646832
83.5,869.076548
85.9609375,1061.355131
88.90625,1189.571299
91.7734375,1072.307659
95.0546875,845.315474
