time,motor_top
26.6875,939.834346
47.265625,960.561311
68.5859375,947.786592
89.7265625,970.163654
110.6875,958.082021
132.953125,950.262211
154.640625,962.012392
174.515625,968.551391
195.7421875,952.463602
217.609375,967.084799
242.625,935.750903
265.75,949.91851
288.7890625,980.136617
311.171875,933.374249
332.71875,969.152068
354.265625,956.176004
375.0703125,948.45162
401.078125,974.156502
425.6875,974.091121
446.6796875,964.436728
471.59375,960.87545
494.34375,962.059019
514.3125,976.854946
531.6875,972.086843
552.953125,960.148276
578.1015625,981.947641
599.09375,918.156067
616.53125,976.830139
710.2265625,957.417382
793.09375,972.341001
