Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3555,4401.0,27.7734375,34.3828125,Tar3,6.609375
2,6156,7204.0,48.09375,56.28125,Tar2,8.1875
3,8888,9924.0,69.4375,77.53125,Tar1,8.09375
4,11580,12665.0,90.46875,98.9453125,Tar1,8.4765625
5,14240,15378.0,111.25,120.140625,Tar2,8.890625
6,17273,18261.0,134.9453125,142.6640625,Tar3,7.71875
7,19882,20822.0,155.328125,162.671875,Tar3,7.34375
8,22427,23541.0,175.2109375,183.9140625,Tar1,8.703125
9,25129,26314.0,196.3203125,205.578125,Tar2,9.2578125
10,27934,29173.0,218.234375,227.9140625,Tar2,9.6796875
11,31140,32387.0,243.28125,253.0234375,Tar1,9.7421875
12,34080,35396.0,266.25,276.53125,Tar3,10.28125
13,37070,38419.0,289.609375,300.1484375,Tar2,10.5390625
14,39939,40964.0,312.0234375,320.03125,Tar3,8.0078125
15,42703,43924.0,333.6171875,343.15625,Tar1,9.5390625
16,45444,46481.0,355.03125,363.1328125,Tar1,8.1015625
17,48134,49395.0,376.046875,385.8984375,Tar3,9.8515625
18,51457,52815.0,402.0078125,412.6171875,Tar2,10.609375
19,54597,55625.0,426.5390625,434.5703125,Tar1,8.03125
20,57277,58631.0,447.4765625,458.0546875,Tar2,10.578125
21,60463,61832.0,472.3671875,483.0625,Tar3,10.6953125
22,63397,64373.0,495.2890625,502.9140625,Tar3,7.625
23,65936,66809.0,515.125,521.9453125,Tar1,6.8203125
24,68169,69251.0,532.5703125,541.0234375,Tar2,8.453125
25,70884,72141.0,553.78125,563.6015625,Tar3,9.8203125
26,74110,75255.0,578.984375,587.9296875,Tar2,8.9453125
27,76844,77694.0,600.34375,606.984375,Tar1,6.640625
28,79014,80122.0,617.296875,625.953125,Tar1,8.65625
29,91008,91992.0,711.0,718.6875,Tar2,7.6875
30,101630,102445.0,793.984375,800.3515625,Tar3,6.3671875
