time,Index
6.09375,1251.344934
13.53125,1112.56465
19.046875,898.437124
23.3046875,1102.024165
26.71875,891.344863
29.8984375,1248.088101
33.109375,885.23724
36.375,1097.534527
40.0,1259.35396
43.0625,876.350354
46.8359375,1252.561737
50.2890625,1106.305275
54.0078125,1253.685578
57.2734375,1106.111084
60.8125,875.940425
64.46875,878.182024
68.3359375,1236.945922
71.3359375,1106.448509
74.96875,1248.059795
78.1484375,1110.839941
81.296875,887.181771
84.8671875,1252.587708
88.21875,1104.889801
93.53125,1092.091614
98.203125,882.74019
101.5078125,1252.12204
106.8984375,1244.082171
109.7890625,869.286156
