time,Index
5.34375,1446.852961
9.7109375,1143.929714
13.7265625,1281.334405
17.859375,1280.151227
21.1796875,1454.493546
24.3203125,1066.063315
28.28125,1078.376685
32.3515625,1280.617794
35.6171875,1459.070868
41.0703125,1032.464075
45.0546875,1458.3563
48.4921875,1274.686785
51.78125,1035.369626
55.453125,1469.211466
59.03125,1276.289873
62.5546875,1457.530572
65.4609375,1336.987524
68.515625,1038.600416
71.984375,1451.719635
75.328125,1054.346895
78.2734375,1281.619177
81.4140625,1271.653503
84.5546875,1451.010332
87.9609375,1072.08906
91.34375,1467.080721
94.3671875,1037.765367
97.6015625,1281.746887
100.484375,1278.28109
103.6796875,1013.42877
106.828125,1454.708755
