time,Index
4.296875,930.160925
10.65625,1114.048247
15.3046875,1313.524678
24.390625,1048.680039
28.2421875,1130.196939
32.1015625,1129.790362
36.078125,1287.965006
40.046875,935.095541
44.359375,1105.600362
48.4453125,929.298426
52.984375,1304.010896
56.9609375,1140.249557
60.5859375,1304.477598
63.9921875,934.488298
67.96875,1304.062084
71.59375,1105.518666
75.453125,941.996057
78.859375,1129.039158
82.71875,1305.08194
86.3515625,931.862102
90.3203125,1132.056611
94.40625,1301.937975
97.6953125,841.672149
100.875,962.4097
103.9375,1141.997345
106.6640625,944.576924
109.953125,1142.797883
113.9296875,1134.620263
116.9921875,932.21644
