time,motor_top
27.6171875,989.298762
45.3984375,1003.541243
65.84375,971.192303
85.6875,983.171389
104.515625,983.510244
122.5234375,978.821556
139.421875,993.62549
157.7578125,1005.04989
175.890625,1006.125294
299.203125,991.436103
319.171875,998.821179
339.46875,996.115509
358.4453125,980.333288
375.7265625,983.620794
395.609375,987.369362
415.4140625,991.526666
433.8828125,978.337292
453.265625,977.618273
494.875,1011.615531
515.359375,1009.854069
683.2265625,1004.774964
700.7265625,1007.228705
718.703125,980.469622
737.9296875,994.559256
755.3515625,982.199787
775.109375,988.776559
791.984375,999.479463
809.875,1029.285722
829.5,1014.343268
848.8828125,1001.054643
