time,Index
3.5078125,1093.079216
7.21875,1270.601154
10.7890625,885.556471
14.6328125,886.745882
17.9921875,1095.196788
21.859375,1266.48858
24.8671875,1271.945451
28.2421875,1111.592967
31.609375,888.769783
34.7109375,1272.797789
38.328125,890.503829
40.890625,1103.690761
44.75,887.093288
48.1875,1107.610453
51.7890625,1278.426738
55.3515625,888.98478
58.8046875,1267.100347
61.9609375,1119.830308
65.453125,1110.361197
69.1796875,1270.973523
72.46875,881.036499
76.1640625,1106.276711
79.6171875,1271.022765
82.8671875,894.127752
86.1171875,1276.035726
89.6015625,890.92659
92.828125,1104.314736
96.6015625,886.682298
100.609375,1265.770473
103.9921875,1105.013178
