time,motor_top
24.4375,1014.484375
48.90625,1046.593311
66.1953125,1034.143434
86.3515625,1049.073695
104.3671875,1020.774138
120.859375,1048.112422
136.5546875,1050.589029
159.9765625,1057.78623
179.9375,1072.164065
199.1953125,1059.562345
217.4375,1074.508061
236.140625,1061.949567
252.5390625,1074.648626
268.625,1062.41696
286.546875,1068.766207
303.390625,1049.199744
321.8984375,1054.291498
340.0390625,1042.842693
358.796875,1047.951328
375.59375,1044.973658
393.1875,1050.982797
414.296875,1070.609755
433.2578125,1067.299382
463.6640625,1061.977359
479.2109375,1054.992987
496.2734375,1057.185811
513.296875,1061.905979
529.3828125,1047.13927
546.3046875,1043.249162
565.046875,1055.689505
