time,Index
5.2265625,948.254521
9.3359375,1197.799196
13.3046875,1311.638383
16.5859375,1314.81255
20.1640625,1219.008079
23.671875,944.995933
27.4140625,937.339329
31.1953125,1320.825714
34.8671875,1210.130353
38.4765625,1204.416608
41.7734375,963.335672
45.421875,1317.164946
49.2578125,1323.938564
52.9375,957.194799
56.28125,1207.646066
59.59375,1205.876823
63.265625,1318.583443
66.8828125,964.85884
70.8515625,959.886373
74.234375,1206.759729
77.640625,1317.985003
81.078125,1320.780099
84.7578125,949.084024
87.96875,1209.100353
91.28125,1206.546584
94.921875,954.168872
98.8671875,1317.577551
102.671875,942.226901
106.3828125,1315.602697
110.09375,1198.808594
