1746528361.3889563 N:   21, t: 33034868, dt: 19435, ENC_DEG: 60.80, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.15, I: -2.67, D:  0.06, VEL_OUT: -6.22, MS_MPC: 29572.56, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.12, gy: -0.70, gz: -0.79, OX: -0.10
1746528361.4920022 N:   22, t: 33058819, dt: 23951, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -2.78, D:  0.04, VEL_OUT: -6.27, MS_MPC: 29572.56, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.00, gy: -0.34, gz: -0.49, OX: -0.04
1746528361.4980345 N:   23, t: 33075990, dt: 17171, ENC_DEG: 60.87, REF:  0.00, VEL_RAW:  3.84, VEL_AVG:  0.75, I: -3.53, D: -0.64, VEL_OUT: -21.03, MS_MPC: 29570.54, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.12, gy: -0.03, gz: -0.00, OX: -0.01
1746528361.5040247 N:   24, t: 33094373, dt: 18383, ENC_DEG: 60.82, REF:  0.00, VEL_RAW: -2.39, VEL_AVG:  0.18, I: -3.71, D:  0.58, VEL_OUT: -3.43, MS_MPC: 29571.89, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.15, gz:  0.79, OX:  0.06
1746528361.5099993 N:   25, t: 33114640, dt: 20267, ENC_DEG: 60.84, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.27, I: -3.98, D: -0.09, VEL_OUT: -11.53, MS_MPC: 29571.22, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.27, gz:  0.85, OX:  0.01
1746528361.547356  N:   27, t: 33156365, dt: 20378, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.10, I: -4.17, D: -0.00, VEL_OUT: -9.32, MS_MPC: 29571.89, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.40, gz:  0.61, OX:  0.01
1746528361.5533273 N:   28, t: 33175707, dt: 19342, ENC_DEG: 60.76, REF:  0.00, VEL_RAW: -3.41, VEL_AVG: -0.09, I: -4.26, D:  0.00, VEL_OUT: -9.42, MS_MPC: 29573.88, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.27, gz:  0.55, OX: -0.01
1746528361.5583124 N:   29, t: 33194975, dt: 19268, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.10, I: -4.36, D: -0.00, VEL_OUT: -9.72, MS_MPC: 29572.56, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.43, gy:  0.21, gz:  0.61, OX:  0.03
1746528361.5652945 N:   30, t: 33219453, dt: 24478, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  0.90, VEL_AVG:  0.33, I: -4.69, D: -0.23, VEL_OUT: -14.92, MS_MPC: 29571.89, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.21, gz: -0.06, OX: -0.01
1746528361.6116736 N:   31, t: 33238300, dt: 18847, ENC_DEG: 60.78, REF:  0.00, VEL_RAW: -2.33, VEL_AVG: -0.09, I: -4.77, D:  0.24, VEL_OUT: -8.05, MS_MPC: 29573.22, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.03, gz: -0.49, OX: -0.04
1746528361.6173    N:   32, t: 33257554, dt: 19254, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.08, I: -4.86, D:  0.00, VEL_OUT: -10.50, MS_MPC: 29572.56, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.15, gz: -0.37, OX: -0.03
1746528361.6704273 N:   33, t: 33275961, dt: 18407, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -4.87, D:  0.07, VEL_OUT: -9.12, MS_MPC: 29572.56, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.24, gy: -0.64, gz: -0.31, OX: -0.02
1746528361.6764007 N:   34, t: 33294810, dt: 18849, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -4.88, D:  0.00, VEL_OUT: -9.87, MS_MPC: 29572.56, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.52, gz:  0.18, OX:  0.05
1746528361.6827312 N:   35, t: 33315927, dt: 21117, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  1.04, VEL_AVG: -0.22, I: -5.10, D: -0.21, VEL_OUT: -14.53, MS_MPC: 29571.89, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.52, gz: -0.12, OX:  0.00
1746528361.688719  N:   36, t: 33335255, dt: 19328, ENC_DEG: 60.84, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.07, I: -5.17, D:  0.15, VEL_OUT: -9.56, MS_MPC: 29571.22, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.64, gz: -0.12, OX: -0.00
1746528361.7311587 N:   37, t: 33355826, dt: 20571, ENC_DEG: 60.80, REF:  0.00, VEL_RAW: -2.14, VEL_AVG: -0.20, I: -5.37, D: -0.12, VEL_OUT: -13.95, MS_MPC: 29572.56, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.64, gz:  0.12, OX:  0.04
1746528361.7877367 N:   38, t: 33374755, dt: 18929, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -5.39, D:  0.17, VEL_OUT: -9.32, MS_MPC: 29572.56, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.40, gz:  0.24, OX: -0.03
1746528361.7937098 N:   39, t: 33395463, dt: 20708, ENC_DEG: 60.84, REF:  0.00, VEL_RAW:  2.12, VEL_AVG:  0.06, I: -5.46, D: -0.04, VEL_OUT: -11.90, MS_MPC: 29571.22, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.15, gz:  0.24, OX:  0.01
1746528361.7997205 N:   40, t: 33414160, dt: 18697, ENC_DEG: 60.87, REF:  0.00, VEL_RAW:  1.18, VEL_AVG:  0.44, I: -5.90, D: -0.38, VEL_OUT: -20.06, MS_MPC: 29570.54, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.34, gz:  0.06, OX: -0.02
1746528361.8056712 N:   41, t: 33435435, dt: 21275, ENC_DEG: 60.84, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.17, I: -6.07, D:  0.28, VEL_OUT: -11.05, MS_MPC: 29571.22, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.21, gz:  0.43, OX:  0.08
1746528361.8126562 N:   42, t: 33455637, dt: 20202, ENC_DEG: 60.82, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.00, I: -6.07, D:  0.17, VEL_OUT: -10.51, MS_MPC: 29571.89, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.03, gz:  0.31, OX:  0.00
1746528361.8510368 N:   43, t: 33477088, dt: 21451, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -6.27, D: -0.19, VEL_OUT: -16.44, MS_MPC: 29571.89, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.46, gz:  0.18, OX: -0.01
1746528361.9056492 N:   44, t: 33495576, dt: 18488, ENC_DEG: 60.76, REF:  0.00, VEL_RAW: -3.57, VEL_AVG: -0.20, I: -6.46, D:  0.00, VEL_OUT: -14.87, MS_MPC: 29573.88, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.40, gz:  0.18, OX: -0.06
1746528361.9116867 N:   45, t: 33515456, dt: 19880, ENC_DEG: 60.84, REF:  0.00, VEL_RAW:  4.42, VEL_AVG:  0.17, I: -6.64, D:  0.02, VEL_OUT: -14.77, MS_MPC: 29571.22, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.37, gy:  0.46, gz:  0.67, OX:  0.07
1746528361.917706  N:   46, t: 33536178, dt: 20722, ENC_DEG: 60.82, REF:  0.00, VEL_RAW: -1.06, VEL_AVG:  0.08, I: -6.72, D:  0.09, VEL_OUT: -13.40, MS_MPC: 29571.89, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.40, gz:  0.73, OX:  0.05
1746528361.9241216 N:   47, t: 33554550, dt: 18372, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -6.72, D:  0.08, VEL_OUT: -12.64, MS_MPC: 29571.89, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.64, gz:  0.61, OX:  0.03
1746528361.93071   N:   48, t: 33577355, dt: 22805, ENC_DEG: 60.93, REF:  0.00, VEL_RAW:  4.82, VEL_AVG:  0.30, I: -7.03, D: -0.30, VEL_OUT: -20.12, MS_MPC: 29568.47, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.00, gy:  0.52, gz:  0.00, OX: -0.05
1746528362.0293953 N:   49, t: 33594172, dt: 16817, ENC_DEG: 60.80, REF:  0.00, VEL_RAW: -7.84, VEL_AVG: -0.17, I: -7.20, D:  0.13, VEL_OUT: -14.77, MS_MPC: 29572.56, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.06, gy:  0.40, gz:  0.37, OX: -0.02
1746528362.0353732 N:   50, t: 33614368, dt: 20196, ENC_DEG: 60.84, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.01, I: -7.21, D:  0.16, VEL_OUT: -12.92, MS_MPC: 29571.22, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.31, gy:  0.27, gz:  0.43, OX:  0.01
1746528362.0413814 N:   51, t: 33634560, dt: 20192, ENC_DEG: 60.84, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -7.37, D: -0.16, VEL_OUT: -17.97, MS_MPC: 29571.22, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.09, gz:  0.18, OX:  0.05
1746528362.0473394 N:   52, t: 33656845, dt: 22285, ENC_DEG: 60.80, REF:  0.00, VEL_RAW: -1.97, VEL_AVG: -0.43, I: -7.80, D: -0.26, VEL_OUT: -22.51, MS_MPC: 29572.56, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.27, gz: -0.24, OX:  0.01
1746528362.053498  N:   54, t: 33696722, dt: 22397, ENC_DEG: 60.78, REF:  0.00, VEL_RAW: -0.98, VEL_AVG: -0.33, I: -8.48, D:  0.01, VEL_OUT: -20.21, MS_MPC: 29573.22, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.03, gz: -0.18, OX:  0.02
1746528362.0912783 N:   55, t: 33715238, dt: 18516, ENC_DEG: 60.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.33, I: -8.81, D:  0.00, VEL_OUT: -20.96, MS_MPC: 29573.22, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.15, gz: -0.43, OX: -0.11
1746528362.097118  N:   56, t: 33736076, dt: 20838, ENC_DEG: 60.76, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.12, I: -8.94, D:  0.21, VEL_OUT: -17.03, MS_MPC: 29573.88, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.00, gy: -0.27, gz: -0.61, OX: -0.03
1746528362.1025453 N:   57, t: 33756807, dt: 20731, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  3.18, VEL_AVG: -0.23, I: -9.16, D: -0.10, VEL_OUT: -21.64, MS_MPC: 29571.89, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.12, gy: -0.34, gz: -0.31, OX: -0.00
1746528362.1504464 N:   58, t: 33775843, dt: 19036, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -9.30, D:  0.09, VEL_OUT: -19.12, MS_MPC: 29571.89, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.21, gz: -0.49, OX: -0.02
1746528362.2089305 N:   59, t: 33799191, dt: 23348, ENC_DEG: 60.80, REF:  0.00, VEL_RAW: -0.94, VEL_AVG: -0.22, I: -9.52, D: -0.08, VEL_OUT: -22.01, MS_MPC: 29572.56, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.09, gz: -0.18, OX:  0.03
1746528362.2144208 N:   60, t: 33815848, dt: 16657, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  1.32, VEL_AVG: -0.51, I: -10.03, D: -0.29, VEL_OUT: -28.07, MS_MPC: 29571.89, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.09, gz: -0.12, OX: -0.07
1746528362.2205741 N:   61, t: 33834421, dt: 18573, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -10.18, D:  0.37, VEL_OUT: -18.13, MS_MPC: 29571.89, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.09, gz: -0.37, OX:  0.00
1746528362.2270162 N:   62, t: 33855845, dt: 21424, ENC_DEG: 60.80, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.12, I: -10.30, D:  0.02, VEL_OUT: -21.62, MS_MPC: 29572.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.43, gy: -0.40, gz: -0.06, OX:  0.01
1746528362.2327027 N:   63, t: 33880137, dt: 24292, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  0.90, VEL_AVG: -0.05, I: -10.35, D:  0.08, VEL_OUT: -20.41, MS_MPC: 29571.89, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.27, gz: -0.00, OX:  0.02
1746528362.2711325 N:   64, t: 33894136, dt: 13999, ENC_DEG: 60.80, REF:  0.00, VEL_RAW: -1.57, VEL_AVG: -0.01, I: -10.36, D:  0.03, VEL_OUT: -20.53, MS_MPC: 29572.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.03, gz: -0.06, OX: -0.04
