1746527978.0894268 N:   26, t: 24835933, dt: 17313, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.54, VEL_AVG:  0.23, I: -5.64, D: -0.10, VEL_OUT: -14.53, MS_MPC: 22004.22, ax:  0.01, ay: -0.01, az:  1.00, gx:  1.34, gy:  0.73, gz:  1.86, OX: -0.05
1746527978.1470652 N:   28, t: 24875059, dt: 18442, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.38, VEL_AVG:  0.19, I: -5.92, D: -0.11, VEL_OUT: -14.91, MS_MPC: 22004.22, ax:  0.02, ay: -0.01, az:  1.01, gx:  0.61, gy:  0.73, gz:  2.17, OX:  0.01
1746527978.204138  N:   30, t: 24915067, dt: 19234, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -2.28, VEL_AVG:  0.08, I: -6.00, D: -0.08, VEL_OUT: -13.54, MS_MPC: 21993.95, ax:  0.02, ay: -0.00, az:  1.01, gx: -0.49, gy:  0.79, gz:  2.17, OX:  0.06
1746527978.2646568 N:   32, t: 25056325, dt: 15960, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -6.22, D:  0.09, VEL_OUT: -12.26, MS_MPC: 21993.95, ax:  0.01, ay:  0.00, az:  0.99, gx: -1.22, gy: -0.24, gz: -0.76, OX: -0.02
1746527978.2703128 N:   33, t: 25135184, dt: 78859, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -0.28, VEL_AVG:  0.04, I: -6.27, D:  0.02, VEL_OUT: -12.75, MS_MPC: 21988.80, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.85, gz: -0.82, OX: -0.26
1746527978.276323  N:   36, t: 25195410, dt: 20396, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -6.60, D:  0.09, VEL_OUT: -12.84, MS_MPC: 21993.95, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.18, gy: -1.04, gz: -0.89, OX:  0.01
1746527978.282332  N:   38, t: 25236561, dt: 21417, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.05, VEL_AVG:  0.07, I: -6.78, D:  0.04, VEL_OUT: -13.88, MS_MPC: 22004.22, ax:  0.02, ay: -0.01, az:  1.01, gx:  0.31, gy: -1.22, gz: -0.76, OX: -0.01
1746527978.2893376 N:   40, t: 25296563, dt: 20332, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.13, I: -7.16, D:  0.12, VEL_OUT: -14.42, MS_MPC: 21993.95, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.31, gz: -0.27, OX:  0.01
1746527978.3841782 N:   41, t: 25340791, dt: 44228, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -7.29, D:  0.00, VEL_OUT: -15.87, MS_MPC: 21993.95, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.18, gy:  0.24, gz:  0.70, OX:  0.01
1746527978.389163  N:   42, t: 25356797, dt: 16006, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.37, VEL_AVG:  0.18, I: -7.47, D: -0.05, VEL_OUT: -17.14, MS_MPC: 21999.09, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.12, gz:  0.82, OX: -0.00
