1746527867.0918708 N:   22, t: 50673685, dt: 19462, ENC_DEG: 26.50, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.24, I: -8.32, D: -0.11, VEL_OUT: -20.19, MS_MPC: 26523.05, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.24, gy:  0.43, gz:  0.61, OX:  0.02
1746527867.0981936 N:   23, t: 50698053, dt: 24368, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  1.80, VEL_AVG:  0.17, I: -8.48, D:  0.08, VEL_OUT: -17.88, MS_MPC: 26530.59, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.31, gz:  0.06, OX: -0.01
1746527867.145267  N:   24, t: 50713380, dt: 15327, ENC_DEG: 26.52, REF:  0.00, VEL_RAW: -1.43, VEL_AVG: -0.13, I: -8.62, D:  0.03, VEL_OUT: -18.23, MS_MPC: 26526.82, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.55, gz:  0.24, OX:  0.02
1746527867.1514874 N:   25, t: 50732705, dt: 19325, ENC_DEG: 26.48, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.32, I: -8.94, D: -0.19, VEL_OUT: -23.00, MS_MPC: 26519.28, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.06, gy:  0.61, gz:  0.00, OX: -0.01
1746527867.1575801 N:   26, t: 50753174, dt: 20469, ENC_DEG: 26.50, REF:  0.00, VEL_RAW:  1.07, VEL_AVG: -0.32, I: -9.26, D:  0.00, VEL_OUT: -21.66, MS_MPC: 26523.05, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.12, gz: -0.18, OX: -0.04
1746527867.20625   N:   27, t: 50772533, dt: 19359, ENC_DEG: 26.46, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.32, I: -9.58, D:  0.00, VEL_OUT: -22.31, MS_MPC: 26515.51, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.06, gz: -0.18, OX:  0.01
1746527867.211256  N:   28, t: 50797891, dt: 25358, ENC_DEG: 26.59, REF:  0.00, VEL_RAW:  5.20, VEL_AVG:  0.21, I: -9.79, D:  0.11, VEL_OUT: -20.59, MS_MPC: 26538.11, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.24, gz: -0.24, OX: -0.01
1746527867.4452164 N:   29, t: 50814179, dt: 16288, ENC_DEG: 26.54, REF:  0.00, VEL_RAW: -2.70, VEL_AVG: -0.02, I: -9.80, D:  0.19, VEL_OUT: -17.80, MS_MPC: 26530.59, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.12, gz: -0.37, OX: -0.02
1746527867.4504614 N:   30, t: 50835026, dt: 20847, ENC_DEG: 26.57, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.20, I: -10.00, D: -0.18, VEL_OUT: -23.81, MS_MPC: 26534.35, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.18, gz: -0.18, OX:  0.00
1746527867.4564517 N:   31, t: 50852499, dt: 17473, ENC_DEG: 26.50, REF:  0.00, VEL_RAW: -3.77, VEL_AVG: -0.51, I: -10.51, D: -0.31, VEL_OUT: -29.29, MS_MPC: 26523.05, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy: -0.31, gz: -0.12, OX:  0.07
1746527867.4624343 N:   32, t: 50873942, dt: 21443, ENC_DEG: 26.50, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -10.72, D:  0.30, VEL_OUT: -20.56, MS_MPC: 26523.05, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.24, gy: -0.43, gz:  0.31, OX:  0.03
1746527867.4684181 N:   34, t: 50913402, dt: 20188, ENC_DEG: 26.57, REF:  0.00, VEL_RAW:  2.18, VEL_AVG: -0.00, I: -10.81, D:  0.09, VEL_OUT: -20.75, MS_MPC: 26534.35, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.24, gy: -0.55, gz: -0.18, OX:  0.00
1746527867.5060613 N:   35, t: 51072744, dt: 159342, ENC_DEG: 26.50, REF:  0.00, VEL_RAW: -0.41, VEL_AVG: -0.18, I: -10.99, D: -0.18, VEL_OUT: -25.69, MS_MPC: 26523.05, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.31, gy:  0.49, gz:  0.18, OX: -0.00
1746527867.5114284 N:   36, t: 51092815, dt: 20071, ENC_DEG: 26.48, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.16, I: -11.15, D:  0.03, VEL_OUT: -23.59, MS_MPC: 26519.28, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.06, gy:  0.37, gz:  0.31, OX:  0.01
1746527867.5174665 N:   37, t: 51114275, dt: 21460, ENC_DEG: 26.50, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.12, I: -11.27, D:  0.04, VEL_OUT: -23.34, MS_MPC: 26523.05, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.24, gy: -0.37, gz: -0.43, OX: -0.05
1746527867.5654764 N:   38, t: 51133886, dt: 19611, ENC_DEG: 26.52, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.12, I: -11.39, D: -0.00, VEL_OUT: -24.04, MS_MPC: 26526.82, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.49, gy: -0.37, gz: -0.06, OX:  0.09
1746527867.571434  N:   39, t: 51153141, dt: 19255, ENC_DEG: 26.48, REF:  0.00, VEL_RAW: -2.28, VEL_AVG:  0.12, I: -11.51, D:  0.00, VEL_OUT: -24.23, MS_MPC: 26519.28, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.37, gy:  0.18, gz:  0.31, OX:  0.03
1746527867.577575  N:   40, t: 51172495, dt: 19354, ENC_DEG: 26.52, REF:  0.00, VEL_RAW:  2.27, VEL_AVG: -0.12, I: -11.64, D: -0.00, VEL_OUT: -24.52, MS_MPC: 26526.82, ax:  0.01, ay:  0.02, az:  0.99, gx: -0.24, gy:  0.12, gz:  0.37, OX:  0.14
1746527867.6818025 N:   41, t: 51194528, dt: 22033, ENC_DEG: 26.50, REF:  0.00, VEL_RAW: -1.00, VEL_AVG:  0.02, I: -11.65, D:  0.10, VEL_OUT: -22.46, MS_MPC: 26523.05, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.00, gy:  0.00, gz:  0.00, OX:  0.00
1746527867.6882193 N:   42, t: 51213834, dt: 19306, ENC_DEG: 26.50, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -11.72, D: -0.05, VEL_OUT: -24.64, MS_MPC: 26523.05, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.37, gz: -0.31, OX: -0.05
1746527867.694216  N:   43, t: 51236336, dt: 22502, ENC_DEG: 26.48, REF:  0.00, VEL_RAW: -0.98, VEL_AVG:  0.16, I: -11.89, D: -0.09, VEL_OUT: -26.36, MS_MPC: 26519.28, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.24, gz: -0.06, OX: -0.05
1746527867.700161  N:   44, t: 51252698, dt: 16362, ENC_DEG: 26.50, REF:  0.00, VEL_RAW:  1.34, VEL_AVG:  0.28, I: -12.16, D: -0.11, VEL_OUT: -28.20, MS_MPC: 26523.05, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.43, gy: -0.06, gz:  0.06, OX: -0.02
