1746011059.405422  N:   23, t: 25285325, dt: 20468, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  2.15, VEL_AVG:  0.49, I: -3.48, D: -0.18, VEL_OUT: -13.61, MS_MPC: 28112.86, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.34, gy: -0.67, gz: -0.73, OX:  0.00
1746011059.412433  N:   24, t: 25305675, dt: 20350, ENC_DEG: 73.65, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.23, I: -3.71, D:  0.25, VEL_OUT: -7.20, MS_MPC: 28117.62, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.27, gy: -0.98, gz: -0.12, OX:  0.02
1746011059.4671395 N:   25, t: 25324998, dt: 19323, ENC_DEG: 73.61, REF:  0.00, VEL_RAW: -2.27, VEL_AVG:  0.09, I: -3.80, D:  0.14, VEL_OUT: -7.07, MS_MPC: 28127.10, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.15, gy: -0.67, gz: -0.31, OX:  0.03
1746011059.4721658 N:   26, t: 25349929, dt: 24931, ENC_DEG: 73.63, REF:  0.00, VEL_RAW:  0.88, VEL_AVG: -0.08, I: -3.88, D:  0.01, VEL_OUT: -8.43, MS_MPC: 28122.37, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.15, gy: -0.24, gz: -0.37, OX:  0.00
1746011059.5226717 N:   27, t: 25366130, dt: 16201, ENC_DEG: 73.72, REF:  0.00, VEL_RAW:  5.43, VEL_AVG:  0.58, I: -4.46, D: -0.51, VEL_OUT: -19.82, MS_MPC: 28103.32, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.15, gy: -0.43, gz: -0.55, OX: -0.03
1746011059.5291207 N:   28, t: 25385567, dt: 19437, ENC_DEG: 73.65, REF:  0.00, VEL_RAW: -3.39, VEL_AVG:  0.30, I: -4.76, D:  0.28, VEL_OUT: -9.71, MS_MPC: 28117.62, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.09, gy: -0.61, gz: -0.43, OX: -0.06
1746011059.535168  N:   29, t: 25409248, dt: 23681, ENC_DEG: 73.59, REF:  0.00, VEL_RAW: -2.78, VEL_AVG:  0.33, I: -5.09, D: -0.03, VEL_OUT: -13.72, MS_MPC: 28131.83, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.15, gy:  0.06, gz: -0.24, OX:  0.00
1746011059.5412967 N:   30, t: 25429566, dt: 20318, ENC_DEG: 73.70, REF:  0.00, VEL_RAW:  5.41, VEL_AVG:  0.30, I: -5.40, D:  0.02, VEL_OUT: -13.61, MS_MPC: 28108.09, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.15, gy:  0.12, gz: -0.12, OX: -0.01
1746011059.5871716 N:   31, t: 25450888, dt: 21322, ENC_DEG: 73.68, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.45, I: -5.85, D: -0.15, VEL_OUT: -17.74, MS_MPC: 28112.86, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.03, gy:  0.18, gz:  0.12, OX:  0.00
1746011059.594153  N:   32, t: 25469546, dt: 18658, ENC_DEG: 73.65, REF:  0.00, VEL_RAW: -1.18, VEL_AVG:  0.12, I: -5.97, D:  0.33, VEL_OUT: -9.82, MS_MPC: 28117.62, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.09, gy:  0.31, gz:  0.61, OX:  0.07
1746011059.599139  N:   33, t: 25484922, dt: 15376, ENC_DEG: 73.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.38, I: -6.35, D: -0.26, VEL_OUT: -19.00, MS_MPC: 28117.62, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.09, gy:  0.49, gz:  0.24, OX:  0.02
1746011059.6061213 N:   34, t: 25511337, dt: 26415, ENC_DEG: 73.70, REF:  0.00, VEL_RAW:  1.66, VEL_AVG:  0.32, I: -6.66, D:  0.06, VEL_OUT: -15.88, MS_MPC: 28108.09, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.09, gy:  0.31, gz:  0.49, OX:  0.02
1746011059.7148302 N:   35, t: 25529900, dt: 18563, ENC_DEG: 73.65, REF:  0.00, VEL_RAW: -2.37, VEL_AVG: -0.06, I: -6.72, D:  0.26, VEL_OUT: -11.50, MS_MPC: 28117.62, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.03, gy:  0.00, gz:  0.12, OX:  0.04
1746011059.715829  N:   36, t: 25546838, dt: 16938, ENC_DEG: 73.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -6.75, D:  0.03, VEL_OUT: -13.49, MS_MPC: 28117.62, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.09, gy:  0.00, gz: -0.06, OX: -0.00
1746011059.763699  N:   37, t: 25565012, dt: 18174, ENC_DEG: 73.74, REF:  0.00, VEL_RAW:  4.84, VEL_AVG:  0.62, I: -7.37, D: -0.59, VEL_OUT: -26.89, MS_MPC: 28098.54, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.15, gy: -0.06, gz:  0.00, OX: -0.02
1746011059.7696826 N:   38, t: 25585349, dt: 20337, ENC_DEG: 73.68, REF:  0.00, VEL_RAW: -3.24, VEL_AVG:  0.28, I: -7.65, D:  0.34, VEL_OUT: -14.65, MS_MPC: 28112.86, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.27, gy:  0.00, gz: -0.06, OX: -0.01
1746011059.776678  N:   40, t: 25630191, dt: 20751, ENC_DEG: 73.61, REF:  0.00, VEL_RAW: -3.18, VEL_AVG: -0.16, I: -7.98, D:  0.02, VEL_OUT: -17.35, MS_MPC: 28127.10, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.15, gy: -0.24, gz:  0.06, OX: -0.00
1746011059.7837439 N:   41, t: 25647554, dt: 17363, ENC_DEG: 73.63, REF:  0.00, VEL_RAW:  1.27, VEL_AVG:  0.18, I: -8.16, D: -0.03, VEL_OUT: -18.40, MS_MPC: 28122.37, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.03, gy: -0.06, gz:  0.12, OX:  0.03
1746011059.7899747 N:   43, t: 25685091, dt: 18379, ENC_DEG: 73.63, REF:  0.00, VEL_RAW: -2.39, VEL_AVG: -0.19, I: -8.43, D: -0.11, VEL_OUT: -19.92, MS_MPC: 28122.37, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.03, gy:  0.06, gz: -0.61, OX: -0.03
1746011059.827287  N:   44, t: 25709654, dt: 24563, ENC_DEG: 73.65, REF:  0.00, VEL_RAW:  0.89, VEL_AVG: -0.02, I: -8.45, D:  0.17, VEL_OUT: -15.36, MS_MPC: 28117.62, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.09, gy:  0.06, gz: -0.37, OX: -0.03
1746011059.8342705 N:   45, t: 25726032, dt: 16378, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  1.34, VEL_AVG:  0.09, I: -8.55, D: -0.07, VEL_OUT: -18.77, MS_MPC: 28112.86, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.15, gy:  0.12, gz: -0.12, OX: -0.01
1746011059.8872068 N:   46, t: 25746558, dt: 20526, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -8.59, D:  0.05, VEL_OUT: -17.16, MS_MPC: 28112.86, ax: -0.01, ay: -0.00, az:  1.01, gx: -0.03, gy:  0.49, gz:  0.18, OX:  0.03
1746011059.894187  N:   47, t: 25767017, dt: 20459, ENC_DEG: 73.70, REF:  0.00, VEL_RAW:  1.07, VEL_AVG:  0.24, I: -8.83, D: -0.20, VEL_OUT: -22.04, MS_MPC: 28108.09, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.15, gy:  0.67, gz: -0.12, OX: -0.07
1746011059.899213  N:   48, t: 25786371, dt: 19354, ENC_DEG: 73.59, REF:  0.00, VEL_RAW: -5.68, VEL_AVG: -0.23, I: -9.06, D:  0.01, VEL_OUT: -20.35, MS_MPC: 28131.83, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.03, gy:  0.24, gz:  0.00, OX: -0.02
1746011059.905331  N:   49, t: 25806744, dt: 20373, ENC_DEG: 73.61, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.54, I: -9.61, D: -0.31, VEL_OUT: -27.80, MS_MPC: 28127.10, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.03, gy: -0.37, gz:  0.06, OX: -0.01
1746011059.9469502 N:   50, t: 25824830, dt: 18086, ENC_DEG: 73.65, REF:  0.00, VEL_RAW:  2.43, VEL_AVG: -0.07, I: -9.68, D:  0.47, VEL_OUT: -15.36, MS_MPC: 28117.62, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.15, gy: -0.18, gz:  0.12, OX:  0.02
1746011060.0028503 N:   51, t: 25845955, dt: 21125, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.01, I: -9.70, D:  0.06, VEL_OUT: -18.96, MS_MPC: 28112.86, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.27, gy: -0.06, gz: -0.12, OX:  0.02
1746011060.0087798 N:   52, t: 25869302, dt: 23347, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.28, I: -9.97, D: -0.26, VEL_OUT: -25.39, MS_MPC: 28112.86, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.09, gy: -0.12, gz: -0.24, OX:  0.01
1746011060.0157921 N:   53, t: 25889799, dt: 20497, ENC_DEG: 73.70, REF:  0.00, VEL_RAW:  1.07, VEL_AVG:  0.26, I: -10.24, D:  0.02, VEL_OUT: -22.94, MS_MPC: 28108.09, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.03, gy: -0.06, gz: -0.49, OX: -0.06
1746011060.0217516 N:   54, t: 25905011, dt: 15212, ENC_DEG: 73.68, REF:  0.00, VEL_RAW: -1.44, VEL_AVG: -0.05, I: -10.29, D:  0.21, VEL_OUT: -18.91, MS_MPC: 28112.86, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.21, gy:  0.06, gz: -0.37, OX: -0.03
1746011060.0287201 N:   55, t: 25929121, dt: 24110, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -10.44, D: -0.10, VEL_OUT: -23.40, MS_MPC: 28112.86, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.15, gy:  0.12, gz: -0.06, OX:  0.01
1746011060.0666156 N:   56, t: 25946245, dt: 17124, ENC_DEG: 73.65, REF:  0.00, VEL_RAW: -1.28, VEL_AVG: -0.03, I: -10.47, D:  0.12, VEL_OUT: -20.04, MS_MPC: 28117.62, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.27, gy:  0.31, gz:  0.12, OX: -0.00
1746011060.2428102 N:   57, t: 25965673, dt: 19428, ENC_DEG: 73.59, REF:  0.00, VEL_RAW: -3.39, VEL_AVG: -0.43, I: -10.89, D: -0.39, VEL_OUT: -29.98, MS_MPC: 28131.83, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.27, gy:  0.49, gz:  0.12, OX:  0.01
1746011060.2487724 N:   58, t: 25986083, dt: 20410, ENC_DEG: 73.63, REF:  0.00, VEL_RAW:  2.15, VEL_AVG: -0.25, I: -11.14, D:  0.18, VEL_OUT: -22.94, MS_MPC: 28122.37, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.27, gy:  0.18, gz:  0.31, OX:  0.02
1746011060.3613374 N:   59, t: 26009546, dt: 23463, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  1.87, VEL_AVG: -0.18, I: -11.32, D:  0.07, VEL_OUT: -23.76, MS_MPC: 28112.86, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.34, gy:  0.24, gz:  0.00, OX:  0.01
1746011060.4816916 N:   60, t: 26027552, dt: 18006, ENC_DEG: 73.65, REF:  0.00, VEL_RAW: -1.22, VEL_AVG:  0.19, I: -11.51, D: -0.01, VEL_OUT: -25.07, MS_MPC: 28117.62, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.40, gy:  0.24, gz:  0.12, OX: -0.03
1746011060.4878936 N:   64, t: 26108951, dt: 18405, ENC_DEG: 73.63, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.35, I: -12.55, D: -0.10, VEL_OUT: -29.64, MS_MPC: 28122.37, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.21, gy:  0.12, gz:  0.12, OX:  0.00
1746011060.4937918 N:   65, t: 26186453, dt: 77502, ENC_DEG: 73.63, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.44, I: -12.99, D: -0.09, VEL_OUT: -31.32, MS_MPC: 28122.37, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.15, gy: -0.06, gz: -0.18, OX: -0.01
1746011060.5005763 N:   68, t: 26246794, dt: 16386, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  1.34, VEL_AVG: -0.00, I: -13.36, D:  0.22, VEL_OUT: -24.58, MS_MPC: 28112.86, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.34, gy:  0.18, gz:  0.24, OX:  0.02
