1746010295.0832024 N:   22, t: 76564238, dt: 18307, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.01, I: -2.53, D:  0.06, VEL_OUT: -4.52, MS_MPC: 25290.24, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.12, gz: -0.31, OX:  0.02
1746010295.0841992 N:   23, t: 76580352, dt: 16114, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  4.09, VEL_AVG:  0.13, I: -2.67, D: -0.13, VEL_OUT: -7.95, MS_MPC: 25261.04, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.00, gz: -0.37, OX: -0.02
1746010295.1310754 N:   24, t: 76602883, dt: 22531, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.32, I: -2.99, D: -0.18, VEL_OUT: -11.00, MS_MPC: 25261.04, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.24, gz: -0.49, OX: -0.03
1746010295.132073  N:   25, t: 76620970, dt: 18087, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -3.64, VEL_AVG: -0.16, I: -3.14, D:  0.16, VEL_OUT: -6.28, MS_MPC: 25290.24, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.12, gz:  0.00, OX: -0.03
1746010295.1769578 N:   26, t: 76640350, dt: 19380, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.35, I: -3.49, D: -0.19, VEL_OUT: -12.37, MS_MPC: 25280.52, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.12, gz:  0.37, OX:  0.02
1746010295.2369614 N:   27, t: 76663060, dt: 22710, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -0.97, VEL_AVG: -0.24, I: -3.73, D:  0.11, VEL_OUT: -8.80, MS_MPC: 25290.24, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.43, gz:  0.67, OX:  0.03
1746010295.2428882 N:   28, t: 76680263, dt: 17203, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  3.83, VEL_AVG:  0.25, I: -3.98, D: -0.01, VEL_OUT: -10.59, MS_MPC: 25261.04, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.49, OX:  0.02
1746010295.2488623 N:   29, t: 76704712, dt: 24449, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -4.24, D:  0.00, VEL_OUT: -10.99, MS_MPC: 25261.04, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.37, gz:  0.61, OX:  0.01
1746010295.2945256 N:   30, t: 76723658, dt: 18946, ENC_DEG: 82.51, REF:  0.00, VEL_RAW: -2.32, VEL_AVG:  0.06, I: -4.29, D:  0.19, VEL_OUT: -7.24, MS_MPC: 25280.52, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.49, gz:  0.37, OX:  0.01
1746010295.3007276 N:   32, t: 76760168, dt: 18277, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.08, I: -4.52, D:  0.07, VEL_OUT: -9.10, MS_MPC: 25280.52, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.18, gz:  0.18, OX:  0.00
1746010295.3556511 N:   33, t: 76779974, dt: 19806, ENC_DEG: 82.57, REF:  0.00, VEL_RAW:  3.33, VEL_AVG:  0.35, I: -4.87, D: -0.28, VEL_OUT: -16.06, MS_MPC: 25251.28, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.18, gz:  0.31, OX:  0.04
