1746010454.8465297 N:   23, t: 29602350, dt: 19035, ENC_DEG: 82.71, REF:  0.00, VEL_RAW:  4.62, VEL_AVG:  0.33, I: -3.21, D: -0.23, VEL_OUT: -11.99, MS_MPC: 25192.36, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.09, gz:  0.24, OX:  0.01
1746010454.8525152 N:   28, t: 29705236, dt: 24561, ENC_DEG: 82.66, REF:  0.00, VEL_RAW:  1.79, VEL_AVG:  0.09, I: -3.71, D: -0.03, VEL_OUT: -8.64, MS_MPC: 25212.06, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.52, gz:  0.31, OX: -0.02
1746010454.8575358 N:   30, t: 29740579, dt: 17106, ENC_DEG: 82.71, REF:  0.00, VEL_RAW:  2.57, VEL_AVG:  0.27, I: -4.15, D: -0.11, VEL_OUT: -12.09, MS_MPC: 25192.36, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.06, gy:  0.21, gz:  0.43, OX:  0.06
1746010454.898727  N:   31, t: 29782212, dt: 41633, ENC_DEG: 82.66, REF:  0.00, VEL_RAW: -1.06, VEL_AVG:  0.28, I: -4.43, D: -0.01, VEL_OUT: -11.83, MS_MPC: 25212.06, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.95, gz:  0.43, OX:  0.05
1746010455.0168564 N:   32, t: 29801649, dt: 19437, ENC_DEG: 82.62, REF:  0.00, VEL_RAW: -2.26, VEL_AVG:  0.00, I: -4.43, D:  0.28, VEL_OUT: -6.03, MS_MPC: 25231.70, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.46, gz:  0.37, OX:  0.09
1746010455.021888  N:   33, t: 29824518, dt: 22869, ENC_DEG: 82.64, REF:  0.00, VEL_RAW:  0.96, VEL_AVG:  0.08, I: -4.51, D: -0.08, VEL_OUT: -10.63, MS_MPC: 25221.89, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.34, gz:  0.55, OX:  0.01
1746010455.0278718 N:   34, t: 29841683, dt: 17165, ENC_DEG: 82.66, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.27, I: -4.78, D: -0.19, VEL_OUT: -14.13, MS_MPC: 25212.06, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.15, gz:  0.18, OX: -0.04
1746010455.0348089 N:   35, t: 29860988, dt: 19305, ENC_DEG: 82.64, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.21, I: -4.99, D:  0.06, VEL_OUT: -11.52, MS_MPC: 25221.89, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.09, gz:  0.18, OX: -0.01
1746010455.0407946 N:   39, t: 29941606, dt: 20538, ENC_DEG: 82.66, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.23, I: -6.07, D: -0.04, VEL_OUT: -14.84, MS_MPC: 25212.06, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy:  0.52, gz:  0.37, OX:  0.01
1746010455.2551227 N:   40, t: 29960956, dt: 19350, ENC_DEG: 82.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -6.15, D:  0.15, VEL_OUT: -11.62, MS_MPC: 25212.06, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.46, gz:  0.55, OX:  0.01
