1746010660.7113466 N:   18, t: 62645444, dt: 16459, ENC_DEG: 59.09, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.20, I: -3.67, D: -0.12, VEL_OUT: -10.54, MS_MPC: 29609.66, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.37, gz:  0.31, OX:  0.01
1746010660.717321  N:   19, t: 62669855, dt: 24411, ENC_DEG: 59.06, REF:  0.00, VEL_RAW: -0.90, VEL_AVG:  0.05, I: -3.72, D:  0.15, VEL_OUT: -6.41, MS_MPC: 29609.94, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.43, gy:  0.37, gz:  0.37, OX:  0.00
1746010660.72327   N:   21, t: 62704601, dt: 18541, ENC_DEG: 59.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -3.93, D: -0.08, VEL_OUT: -10.15, MS_MPC: 29610.23, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.55, gy:  0.43, gz:  0.31, OX: -0.00
1746010660.7624364 N:   22, t: 62725784, dt: 21183, ENC_DEG: 59.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.20, I: -4.14, D: -0.06, VEL_OUT: -10.84, MS_MPC: 29610.23, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.55, gz:  0.49, OX: -0.01
1746010660.768416  N:   23, t: 62744421, dt: 18637, ENC_DEG: 59.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.28, I: -4.41, D: -0.08, VEL_OUT: -12.35, MS_MPC: 29610.23, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.31, gz:  0.37, OX: -0.01
1746010660.7740912 N:   24, t: 62768068, dt: 23647, ENC_DEG: 59.09, REF:  0.00, VEL_RAW:  1.86, VEL_AVG: -0.12, I: -4.54, D:  0.15, VEL_OUT: -8.75, MS_MPC: 29609.66, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.67, gy:  0.12, gz:  0.55, OX: -0.01
1746010660.936337  N:   25, t: 62785825, dt: 17757, ENC_DEG: 59.06, REF:  0.00, VEL_RAW: -1.24, VEL_AVG:  0.04, I: -4.57, D:  0.08, VEL_OUT: -8.72, MS_MPC: 29609.94, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.85, gy:  0.37, gz:  0.61, OX:  0.01
1746010660.9423115 N:   26, t: 62804801, dt: 18976, ENC_DEG: 59.11, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.13, I: -4.71, D: -0.09, VEL_OUT: -11.67, MS_MPC: 29609.36, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.92, gy:  0.43, gz:  0.79, OX:  0.06
1746010660.948328  N:   27, t: 62824328, dt: 19527, ENC_DEG: 59.02, REF:  0.00, VEL_RAW: -4.50, VEL_AVG: -0.07, I: -4.77, D:  0.07, VEL_OUT: -9.53, MS_MPC: 29610.50, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.67, gy:  0.73, gz:  0.73, OX:  0.03
1746010660.9976833 N:   28, t: 62849633, dt: 25305, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  1.74, VEL_AVG: -0.07, I: -4.85, D: -0.01, VEL_OUT: -10.50, MS_MPC: 29609.94, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.43, gy:  0.73, gz:  0.73, OX: -0.00
1746010661.002913  N:   32, t: 62924354, dt: 18296, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  2.40, VEL_AVG:  0.01, I: -5.71, D:  0.29, VEL_OUT: -8.67, MS_MPC: 29609.94, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.37, gy:  0.37, gz:  0.43, OX: -0.01
1746010661.0089285 N:   33, t: 62965548, dt: 41194, ENC_DEG: 59.04, REF:  0.00, VEL_RAW: -0.53, VEL_AVG: -0.03, I: -5.74, D: -0.02, VEL_OUT: -11.99, MS_MPC: 29610.23, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.24, gz:  0.18, OX: -0.00
1746010661.0149384 N:   34, t: 62984895, dt: 19347, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.06, I: -5.80, D: -0.03, VEL_OUT: -12.55, MS_MPC: 29609.94, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.37, gz:  0.06, OX: -0.02
1746010661.0583923 N:   35, t: 63006312, dt: 21417, ENC_DEG: 59.02, REF:  0.00, VEL_RAW: -2.05, VEL_AVG: -0.11, I: -5.91, D: -0.05, VEL_OUT: -13.36, MS_MPC: 29610.50, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.12, gz:  0.31, OX:  0.01
1746010661.06455   N:   36, t: 63030987, dt: 24675, ENC_DEG: 59.09, REF:  0.00, VEL_RAW:  2.67, VEL_AVG: -0.04, I: -5.95, D:  0.07, VEL_OUT: -11.63, MS_MPC: 29609.66, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.00, gz:  0.31, OX:  0.01
1746010661.070549  N:   37, t: 63048282, dt: 17295, ENC_DEG: 59.04, REF:  0.00, VEL_RAW: -2.54, VEL_AVG: -0.15, I: -6.10, D: -0.11, VEL_OUT: -14.78, MS_MPC: 29610.23, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.24, gz:  0.37, OX: -0.00
1746010661.120284  N:   38, t: 63065506, dt: 17224, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  1.28, VEL_AVG: -0.24, I: -6.34, D: -0.09, VEL_OUT: -15.90, MS_MPC: 29609.94, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.18, gz:  0.43, OX:  0.01
1746010661.126304  N:   39, t: 63086362, dt: 20856, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -6.48, D:  0.10, VEL_OUT: -13.38, MS_MPC: 29609.94, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.24, gz:  0.31, OX: -0.01
1746010661.1322525 N:   40, t: 63105488, dt: 19126, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -6.48, D:  0.13, VEL_OUT: -11.67, MS_MPC: 29609.94, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.00, gz:  0.67, OX:  0.01
1746010661.177049  N:   41, t: 63126033, dt: 20545, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -6.49, D:  0.00, VEL_OUT: -13.03, MS_MPC: 29609.94, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.18, gz:  0.06, OX:  0.04
1746010661.1837933 N:   42, t: 63149737, dt: 23704, ENC_DEG: 59.04, REF:  0.00, VEL_RAW: -0.93, VEL_AVG:  0.12, I: -6.61, D: -0.11, VEL_OUT: -15.54, MS_MPC: 29610.23, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy: -0.49, gz: -0.18, OX: -0.00
1746010661.1896148 N:   43, t: 63164844, dt: 15107, ENC_DEG: 59.09, REF:  0.00, VEL_RAW:  2.91, VEL_AVG:  0.36, I: -6.97, D: -0.24, VEL_OUT: -19.98, MS_MPC: 29609.66, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.31, gz: -0.43, OX: -0.02
1746010661.1955884 N:   44, t: 63184209, dt: 19365, ENC_DEG: 59.09, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -7.13, D:  0.20, VEL_OUT: -13.87, MS_MPC: 29609.66, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.67, gz: -0.61, OX: -0.03
1746010661.2417383 N:   45, t: 63204508, dt: 20299, ENC_DEG: 59.09, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.21, I: -7.33, D: -0.04, VEL_OUT: -17.17, MS_MPC: 29609.66, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.85, gz: -0.67, OX: -0.01
1746010661.247074  N:   46, t: 63225598, dt: 21090, ENC_DEG: 59.04, REF:  0.00, VEL_RAW: -2.08, VEL_AVG: -0.06, I: -7.40, D:  0.14, VEL_OUT: -13.98, MS_MPC: 29610.23, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.61, gz: -0.73, OX: -0.01
1746010661.2531526 N:   47, t: 63244298, dt: 18700, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  1.18, VEL_AVG:  0.21, I: -7.60, D: -0.14, VEL_OUT: -18.72, MS_MPC: 29609.94, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.37, gz: -0.18, OX: -0.01
