1746003087.985947  N:   18, t: 29774660, dt: 20156, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -2.18, VEL_AVG:  0.20, I: -3.19, D: -0.17, VEL_OUT: -10.07, MS_MPC: 24439.20, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.03, gy: -0.06, gz:  0.31, OX:  0.04
1746003087.9914787 N:   19, t: 29798293, dt: 23633, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  0.93, VEL_AVG:  0.08, I: -3.27, D:  0.12, VEL_OUT: -6.13, MS_MPC: 24443.73, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.09, gy:  0.24, gz:  0.06, OX: -0.01
1746003087.9974837 N:   20, t: 29814427, dt: 16134, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -3.35, D:  0.00, VEL_OUT: -7.49, MS_MPC: 24443.73, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.03, gy:  0.49, gz:  0.49, OX:  0.02
1746003088.0036376 N:   21, t: 29833904, dt: 19477, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.19, I: -3.54, D: -0.11, VEL_OUT: -10.13, MS_MPC: 24439.20, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.03, gy:  0.37, gz:  0.73, OX:  0.04
1746003088.0461316 N:   22, t: 29858217, dt: 24313, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  1.81, VEL_AVG: -0.14, I: -3.68, D:  0.06, VEL_OUT: -8.16, MS_MPC: 24448.24, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.21, gy:  0.00, gz:  0.18, OX: -0.03
1746003088.0522738 N:   23, t: 29873450, dt: 15233, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -3.73, D:  0.08, VEL_OUT: -7.19, MS_MPC: 24448.24, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.34, gy:  0.24, gz:  0.24, OX: -0.02
1746003088.1028378 N:   24, t: 29894105, dt: 20655, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -2.13, VEL_AVG: -0.14, I: -3.87, D: -0.09, VEL_OUT: -10.09, MS_MPC: 24439.20, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.40, gy:  0.12, gz:  0.12, OX: -0.00
1746003088.1085365 N:   25, t: 29914089, dt: 19984, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  2.20, VEL_AVG: -0.26, I: -4.13, D: -0.11, VEL_OUT: -11.95, MS_MPC: 24448.24, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.46, gy:  0.37, gz:  0.37, OX:  0.03
1746003088.1155667 N:   26, t: 29936069, dt: 21980, ENC_DEG: 15.51, REF:  0.00, VEL_RAW: -1.00, VEL_AVG: -0.04, I: -4.17, D:  0.22, VEL_OUT: -6.58, MS_MPC: 24443.73, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.40, gy:  0.31, gz:  0.61, OX:  0.04
1746003088.1215742 N:   27, t: 29954742, dt: 18673, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -4.30, D: -0.09, VEL_OUT: -10.74, MS_MPC: 24443.73, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.40, gy:  0.24, gz:  0.37, OX: -0.00
1746003088.1654122 N:   28, t: 29977762, dt: 23020, ENC_DEG: 15.56, REF:  0.00, VEL_RAW:  1.91, VEL_AVG:  0.03, I: -4.33, D:  0.09, VEL_OUT: -8.08, MS_MPC: 24452.77, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.34, gy:  0.55, gz:  0.37, OX:  0.01
1746003088.1723127 N:   29, t: 29998079, dt: 20317, ENC_DEG: 15.51, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.15, I: -4.48, D: -0.11, VEL_OUT: -11.54, MS_MPC: 24443.73, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.34, gy:  0.00, gz:  0.18, OX:  0.02
1746003088.225316  N:   30, t: 30015826, dt: 17747, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -4.51, D:  0.11, VEL_OUT: -8.28, MS_MPC: 24443.73, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.34, gy:  0.06, gz:  0.18, OX: -0.01
