1745417320.6454086 N:   21, t: 43408952, dt: 24914, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  1.76, VEL_AVG:  0.17, I: -2.83, D:  0.06, VEL_OUT: -6.69, MS_MPC: 26984.29, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.79, gy:  0.49, gz:  1.34, OX:  0.06
1745417320.6513903 N:   22, t: 43425562, dt: 16610, ENC_DEG: 29.20, REF:  0.00, VEL_RAW: -3.97, VEL_AVG: -0.16, I: -2.99, D:  0.01, VEL_OUT: -7.55, MS_MPC: 26973.63, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.85, gy:  0.61, gz:  1.40, OX:  0.02
1745417320.6573749 N:   23, t: 43449149, dt: 23587, ENC_DEG: 29.33, REF:  0.00, VEL_RAW:  5.59, VEL_AVG:  0.30, I: -3.29, D: -0.14, VEL_OUT: -11.02, MS_MPC: 26994.94, ax: -0.00, ay:  0.00, az:  1.01, gx: -0.55, gy:  0.73, gz:  1.04, OX: -0.01
1745417320.6633594 N:   24, t: 43464821, dt: 15672, ENC_DEG: 29.27, REF:  0.00, VEL_RAW: -4.21, VEL_AVG: -0.13, I: -3.42, D:  0.17, VEL_OUT: -6.46, MS_MPC: 26984.29, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.79, gy:  1.46, gz:  1.04, OX: -0.03
1745417320.704911  N:   25, t: 43484862, dt: 20041, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -3.66, D: -0.10, VEL_OUT: -10.71, MS_MPC: 26984.29, ax:  0.01, ay:  0.01, az:  0.98, gx: -0.61, gy:  1.40, gz:  1.34, OX:  0.05
1745417320.712399  N:   26, t: 43507145, dt: 22283, ENC_DEG: 29.29, REF:  0.00, VEL_RAW:  0.99, VEL_AVG: -0.15, I: -3.81, D:  0.08, VEL_OUT: -8.34, MS_MPC: 26987.84, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.37, gy:  1.04, gz:  1.53, OX:  0.03
1745417320.7667475 N:   27, t: 43525782, dt: 18637, ENC_DEG: 29.25, REF:  0.00, VEL_RAW: -2.36, VEL_AVG: -0.35, I: -4.16, D: -0.20, VEL_OUT: -13.79, MS_MPC: 26980.74, ax: -0.00, ay:  0.02, az:  0.99, gx: -0.24, gy:  1.04, gz:  0.92, OX:  0.05
1745417320.7727633 N:   28, t: 43545205, dt: 19423, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.54, I: -4.70, D: -0.19, VEL_OUT: -16.74, MS_MPC: 26977.19, ax: -0.00, ay:  0.02, az:  1.00, gx: -0.24, gy:  0.98, gz:  0.61, OX:  0.00
1745417320.7777104 N:   29, t: 43565570, dt: 20365, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.37, I: -5.07, D:  0.18, VEL_OUT: -12.04, MS_MPC: 26980.74, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.12, gy:  0.49, gz: -0.24, OX: -0.13
1745417320.7836967 N:   30, t: 43584101, dt: 18531, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.29, I: -5.36, D:  0.08, VEL_OUT: -12.78, MS_MPC: 26977.19, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.18, gz: -0.55, OX: -0.12
1745417320.8243244 N:   31, t: 43604573, dt: 20472, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  1.07, VEL_AVG: -0.20, I: -5.55, D:  0.09, VEL_OUT: -12.18, MS_MPC: 26980.74, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.31, gz: -0.24, OX: -0.02
1745417320.8311903 N:   32, t: 43627129, dt: 22556, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  0.97, VEL_AVG: -0.12, I: -5.67, D:  0.08, VEL_OUT: -11.68, MS_MPC: 26984.29, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.49, gy: -0.43, gz:  0.61, OX:  0.12
1745417320.8843424 N:   33, t: 43645815, dt: 18686, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -2.35, VEL_AVG: -0.46, I: -6.13, D: -0.34, VEL_OUT: -20.27, MS_MPC: 26977.19, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.43, gy: -0.49, gz:  0.67, OX:  0.03
