1745416922.2997537 N:   19, t: 28478193, dt: 15643, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  4.21, VEL_AVG:  0.57, I: -4.98, D: -0.52, VEL_OUT: -20.86, MS_MPC: 29581.39, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.21, gy: -0.43, gz: -0.85, OX: -0.03
1745416922.306279  N:   20, t: 28499624, dt: 21431, ENC_DEG: 60.40, REF:  0.00, VEL_RAW: -4.10, VEL_AVG:  0.38, I: -5.37, D:  0.18, VEL_OUT: -12.75, MS_MPC: 29583.74, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.15, gy: -0.43, gz: -0.73, OX: -0.00
1745416922.3122396 N:   21, t: 28522068, dt: 22444, ENC_DEG: 60.45, REF:  0.00, VEL_RAW:  1.96, VEL_AVG:  0.09, I: -5.46, D:  0.29, VEL_OUT: -8.97, MS_MPC: 29582.57, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.34, gy: -0.18, gz: -0.92, OX:  0.00
1745416922.360246  N:   22, t: 28538311, dt: 16243, ENC_DEG: 60.43, REF:  0.00, VEL_RAW: -1.35, VEL_AVG: -0.11, I: -5.57, D: -0.02, VEL_OUT: -12.47, MS_MPC: 29583.15, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.27, gy: -0.24, gz: -0.85, OX:  0.00
1745416922.3660288 N:   23, t: 28564083, dt: 25772, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  1.71, VEL_AVG:  0.29, I: -5.87, D: -0.18, VEL_OUT: -16.43, MS_MPC: 29581.98, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.21, gy: -0.37, gz: -0.61, OX: -0.01
1745416922.4200783 N:   24, t: 28579629, dt: 15546, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -6.00, D:  0.16, VEL_OUT: -11.65, MS_MPC: 29581.98, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.09, gy: -0.18, gz: -0.61, OX: -0.00
1745416922.4260972 N:   25, t: 28599466, dt: 19837, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -1.11, VEL_AVG: -0.07, I: -6.07, D:  0.06, VEL_OUT: -12.26, MS_MPC: 29582.57, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.15, gy: -0.06, gz: -0.49, OX:  0.02
1745416922.4320467 N:   26, t: 28618682, dt: 19216, ENC_DEG: 60.45, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -6.14, D:  0.00, VEL_OUT: -12.99, MS_MPC: 29582.57, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.09, gy:  0.18, gz: -0.37, OX:  0.04
1745416922.4380443 N:   27, t: 28638075, dt: 19393, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.07, I: -6.20, D:  0.00, VEL_OUT: -13.02, MS_MPC: 29581.98, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.09, gy:  0.00, gz: -0.18, OX:  0.00
1745416922.480399  N:   28, t: 28660023, dt: 21948, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -1.00, VEL_AVG:  0.05, I: -6.25, D:  0.02, VEL_OUT: -12.75, MS_MPC: 29582.57, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.21, gy:  0.00, gz: -0.55, OX: -0.01
1745416922.4856772 N:   29, t: 28679240, dt: 19217, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.31, I: -6.56, D: -0.27, VEL_OUT: -18.88, MS_MPC: 29581.39, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.27, gy:  0.00, gz: -0.31, OX:  0.00
1745416922.4927738 N:   30, t: 28699756, dt: 20516, ENC_DEG: 60.51, REF:  0.00, VEL_RAW:  1.07, VEL_AVG:  0.40, I: -6.96, D: -0.09, VEL_OUT: -18.81, MS_MPC: 29580.79, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.15, gy:  0.12, gz:  0.00, OX:  0.01
1745416922.5408096 N:   31, t: 28718027, dt: 18271, ENC_DEG: 60.47, REF:  0.00, VEL_RAW: -2.41, VEL_AVG: -0.15, I: -7.11, D:  0.25, VEL_OUT: -13.25, MS_MPC: 29581.98, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.34, gy:  0.06, gz:  0.18, OX:  0.01
1745416922.5468934 N:   32, t: 28739441, dt: 21414, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -7.30, D: -0.04, VEL_OUT: -16.90, MS_MPC: 29581.98, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.15, gy:  0.06, gz: -0.12, OX: -0.00
1745416922.5999372 N:   33, t: 28760989, dt: 21548, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -1.02, VEL_AVG: -0.06, I: -7.36, D:  0.13, VEL_OUT: -13.97, MS_MPC: 29582.57, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.09, gy: -0.06, gz: -0.12, OX: -0.00
1745416922.6059213 N:   34, t: 28778741, dt: 17752, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  2.48, VEL_AVG:  0.26, I: -7.62, D: -0.20, VEL_OUT: -19.89, MS_MPC: 29581.39, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.21, gy:  0.06, gz: -0.18, OX: -0.02
1745416922.6119049 N:   35, t: 28799106, dt: 20365, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.06, I: -7.68, D:  0.20, VEL_OUT: -13.97, MS_MPC: 29582.57, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.03, gy:  0.12, gz:  0.00, OX:  0.00
1745416922.6178908 N:   36, t: 28820257, dt: 21151, ENC_DEG: 60.43, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.15, I: -7.83, D: -0.09, VEL_OUT: -18.00, MS_MPC: 29583.15, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.03, gy:  0.43, gz: -0.12, OX:  0.04
1745416922.7178407 N:   37, t: 28838465, dt: 18208, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  2.41, VEL_AVG:  0.15, I: -7.98, D:  0.00, VEL_OUT: -17.40, MS_MPC: 29581.98, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.09, gy:  0.18, gz: -0.12, OX: -0.01
1745416922.7232451 N:   38, t: 28862729, dt: 24264, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -0.91, VEL_AVG:  0.07, I: -8.05, D:  0.08, VEL_OUT: -16.04, MS_MPC: 29582.57, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.09, gy:  0.00, gz:  0.00, OX: -0.00
1745416922.7292328 N:   39, t: 28878840, dt: 16111, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  1.36, VEL_AVG:  0.09, I: -8.14, D: -0.02, VEL_OUT: -17.37, MS_MPC: 29581.98, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.03, gy: -0.12, gz: -0.24, OX: -0.02
1745416922.7352161 N:   40, t: 28898234, dt: 19394, ENC_DEG: 60.43, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.02, I: -8.15, D:  0.07, VEL_OUT: -15.71, MS_MPC: 29583.15, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.09, gy: -0.24, gz: -0.06, OX:  0.03
1745416922.741216  N:   42, t: 28937989, dt: 18395, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  2.39, VEL_AVG: -0.01, I: -8.28, D:  0.11, VEL_OUT: -15.57, MS_MPC: 29581.39, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.03, gy: -0.12, gz:  0.06, OX: -0.01
1745416922.7472131 N:   43, t: 28958099, dt: 20110, ENC_DEG: 60.40, REF:  0.00, VEL_RAW: -4.37, VEL_AVG: -0.17, I: -8.46, D: -0.16, VEL_OUT: -20.29, MS_MPC: 29583.74, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.21, gy:  0.06, gz: -0.12, OX: -0.00
1745416922.836393  N:   44, t: 28978590, dt: 20491, ENC_DEG: 60.45, REF:  0.00, VEL_RAW:  2.14, VEL_AVG:  0.00, I: -8.46, D:  0.17, VEL_OUT: -15.27, MS_MPC: 29582.57, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.15, gy:  0.12, gz: -0.31, OX: -0.01
1745416922.8414185 N:   45, t: 28999993, dt: 21403, ENC_DEG: 60.40, REF:  0.00, VEL_RAW: -2.05, VEL_AVG: -0.08, I: -8.54, D: -0.08, VEL_OUT: -18.67, MS_MPC: 29583.74, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.27, gy:  0.06, gz: -0.37, OX: -0.01
1745416922.847409  N:   46, t: 29018176, dt: 18183, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  3.63, VEL_AVG:  0.01, I: -8.56, D:  0.07, VEL_OUT: -16.58, MS_MPC: 29581.98, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.34, gy: -0.12, gz: -0.43, OX: -0.03
1745416922.898342  N:   47, t: 29038453, dt: 20277, ENC_DEG: 60.40, REF:  0.00, VEL_RAW: -3.25, VEL_AVG: -0.08, I: -8.63, D: -0.06, VEL_OUT: -18.66, MS_MPC: 29583.74, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.09, gy: -0.24, gz: -0.55, OX:  0.01
1745416922.9043126 N:   48, t: 29061758, dt: 23305, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  3.77, VEL_AVG:  0.32, I: -8.96, D: -0.25, VEL_OUT: -23.63, MS_MPC: 29581.39, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.27, gy: -0.43, gz: -0.43, OX:  0.01
1745416922.9099712 N:   49, t: 29079342, dt: 17584, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -2.50, VEL_AVG: -0.09, I: -9.04, D:  0.24, VEL_OUT: -16.55, MS_MPC: 29582.57, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.15, gy: -0.61, gz: -0.49, OX:  0.02
1745416922.916064  N:   50, t: 29099800, dt: 20458, ENC_DEG: 60.43, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.10, I: -9.14, D: -0.01, VEL_OUT: -19.42, MS_MPC: 29583.15, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.03, gy: -0.73, gz: -0.67, OX: -0.02
1745416922.9584768 N:   51, t: 29119198, dt: 19398, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  2.27, VEL_AVG: -0.02, I: -9.17, D:  0.08, VEL_OUT: -17.82, MS_MPC: 29581.98, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.15, gy: -0.61, gz: -0.73, OX: -0.00
1745416922.9644716 N:   52, t: 29139630, dt: 20432, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -9.33, D: -0.14, VEL_OUT: -21.71, MS_MPC: 29581.98, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.03, gy: -0.49, gz: -0.92, OX: -0.00
1745416922.9722724 N:   53, t: 29158897, dt: 19267, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.02, I: -9.35, D:  0.15, VEL_OUT: -17.37, MS_MPC: 29582.57, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.09, gy: -0.43, gz: -0.55, OX: -0.00
1745416922.9782555 N:   54, t: 29179257, dt: 20360, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.13, I: -9.47, D: -0.11, VEL_OUT: -21.29, MS_MPC: 29581.98, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.03, gy: -0.37, gz: -0.55, OX:  0.01
1745416923.0203087 N:   55, t: 29198582, dt: 19325, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.33, I: -9.81, D: -0.21, VEL_OUT: -25.03, MS_MPC: 29581.39, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.09, gy: -0.18, gz: -0.31, OX: -0.00
1745416923.0265212 N:   56, t: 29219081, dt: 20499, ENC_DEG: 60.40, REF:  0.00, VEL_RAW: -4.29, VEL_AVG: -0.20, I: -10.01, D:  0.13, VEL_OUT: -20.72, MS_MPC: 29583.74, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.03, gy: -0.18, gz: -0.12, OX:  0.01
1745416923.139097  N:   57, t: 29238381, dt: 19300, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  4.55, VEL_AVG:  0.35, I: -10.36, D: -0.15, VEL_OUT: -25.66, MS_MPC: 29581.39, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.09, gy:  0.00, gz:  0.12, OX:  0.02
1745416923.1441228 N:   58, t: 29259546, dt: 21165, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -2.08, VEL_AVG: -0.13, I: -10.48, D:  0.22, VEL_OUT: -20.02, MS_MPC: 29582.57, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.27, gy:  0.12, gz:  0.06, OX:  0.03
1745416923.1500707 N:   59, t: 29280168, dt: 20622, ENC_DEG: 60.43, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.06, I: -10.54, D:  0.07, VEL_OUT: -20.92, MS_MPC: 29583.15, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.03, gy:  0.12, gz:  0.00, OX:  0.00
1745416923.195919  N:   60, t: 29298229, dt: 18061, ENC_DEG: 60.45, REF:  0.00, VEL_RAW:  1.22, VEL_AVG: -0.16, I: -10.70, D: -0.10, VEL_OUT: -23.99, MS_MPC: 29582.57, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.03, gy:  0.06, gz:  0.06, OX:  0.01
1745416923.2570753 N:   62, t: 29341733, dt: 23079, ENC_DEG: 60.51, REF:  0.00, VEL_RAW:  2.86, VEL_AVG:  0.38, I: -11.12, D: -0.33, VEL_OUT: -29.31, MS_MPC: 29580.79, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.03, gy: -0.12, gz: -0.37, OX: -0.01
1745416923.263064  N:   63, t: 29380240, dt: 38507, ENC_DEG: 60.49, REF:  0.00, VEL_RAW: -0.57, VEL_AVG:  0.14, I: -11.27, D:  0.24, VEL_OUT: -21.59, MS_MPC: 29581.39, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.34, gy: -0.12, gz: -0.24, OX:  0.01
1745416923.268091  N:   64, t: 29399562, dt: 19322, ENC_DEG: 60.47, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.05, I: -11.31, D:  0.09, VEL_OUT: -22.15, MS_MPC: 29581.98, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.21, gy: -0.24, gz: -0.00, OX:  0.04
1745416923.3157458 N:   65, t: 29419906, dt: 20344, ENC_DEG: 60.43, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.04, I: -11.35, D:  0.01, VEL_OUT: -22.99, MS_MPC: 29583.15, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.09, gy:  0.12, gz:  0.00, OX: -0.01
1745416923.3222272 N:   68, t: 29481180, dt: 22708, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  2.90, VEL_AVG:  0.22, I: -12.23, D:  0.15, VEL_OUT: -25.16, MS_MPC: 29581.39, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.09, gy:  0.24, gz:  0.06, OX:  0.01
1745416923.3282146 N:   69, t: 29499057, dt: 17877, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -12.39, D:  0.07, VEL_OUT: -25.69, MS_MPC: 29581.39, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.15, gy:  0.18, gz: -0.18, OX:  0.04
1745416923.3341236 N:   70, t: 29520295, dt: 21238, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -12.41, D:  0.14, VEL_OUT: -23.57, MS_MPC: 29581.39, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.15, gy: -0.37, gz: -0.00, OX:  0.01
1745416923.3398538 N:   71, t: 29539718, dt: 19423, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -12.51, D: -0.09, VEL_OUT: -26.96, MS_MPC: 29581.39, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.40, gy: -0.49, gz: -0.49, OX: -0.01
1745416923.3818445 N:   72, t: 29564726, dt: 25008, ENC_DEG: 60.43, REF:  0.00, VEL_RAW: -2.64, VEL_AVG: -0.22, I: -12.73, D: -0.11, VEL_OUT: -28.72, MS_MPC: 29583.15, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.27, gy: -0.55, gz: -0.43, OX:  0.00
1745416923.3880517 N:   73, t: 29581014, dt: 16288, ENC_DEG: 60.45, REF:  0.00, VEL_RAW:  1.35, VEL_AVG: -0.10, I: -12.83, D:  0.11, VEL_OUT: -25.57, MS_MPC: 29582.57, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.27, gy: -0.49, gz: -0.37, OX: -0.00
1745416923.4364064 N:   74, t: 29599309, dt: 18295, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  2.40, VEL_AVG: -0.14, I: -12.97, D: -0.04, VEL_OUT: -27.74, MS_MPC: 29581.39, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.03, gy: -0.37, gz: -0.61, OX: -0.01
1745416923.4434142 N:   75, t: 29622966, dt: 23657, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -1.86, VEL_AVG: -0.25, I: -13.22, D: -0.11, VEL_OUT: -30.00, MS_MPC: 29582.57, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.15, gy:  0.06, gz: -0.24, OX:  0.04
1745416923.448409  N:   76, t: 29643196, dt: 20230, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.06, I: -13.28, D:  0.19, VEL_OUT: -25.35, MS_MPC: 29581.98, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.34, gy:  0.31, gz: -0.18, OX:  0.01
1745416923.4998002 N:   77, t: 29659610, dt: 16414, ENC_DEG: 60.40, REF:  0.00, VEL_RAW: -4.02, VEL_AVG: -0.22, I: -13.50, D: -0.15, VEL_OUT: -30.73, MS_MPC: 29583.74, ax:  0.00, ay: -0.00, az:  0.99, gx: -0.34, gy:  0.24, gz: -0.12, OX:  0.03
1745416923.5057833 N:   78, t: 29680789, dt: 21179, ENC_DEG: 60.54, REF:  0.00, VEL_RAW:  6.22, VEL_AVG: -0.11, I: -13.61, D:  0.11, VEL_OUT: -27.23, MS_MPC: 29580.19, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.03, gy:  0.00, gz: -0.06, OX: -0.00
1745416923.560846  N:   79, t: 29698008, dt: 17219, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -5.10, VEL_AVG:  0.03, I: -13.64, D:  0.08, VEL_OUT: -26.77, MS_MPC: 29582.57, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.15, gy:  0.12, gz:  0.12, OX: -0.03
1745416923.5654676 N:   80, t: 29720665, dt: 22657, ENC_DEG: 60.45, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -13.85, D: -0.18, VEL_OUT: -31.67, MS_MPC: 29582.57, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.40, gy:  0.18, gz:  0.37, OX:  0.01
1745416923.5714543 N:   81, t: 29738906, dt: 18241, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  2.41, VEL_AVG: -0.01, I: -13.87, D:  0.20, VEL_OUT: -25.84, MS_MPC: 29581.39, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.34, gy:  0.06, gz:  0.06, OX:  0.02
1745416923.5772643 N:   82, t: 29760446, dt: 21540, ENC_DEG: 60.43, REF:  0.00, VEL_RAW: -3.06, VEL_AVG: -0.27, I: -14.13, D: -0.26, VEL_OUT: -33.48, MS_MPC: 29583.15, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.03, gy:  0.24, gz:  0.06, OX:  0.00
1745416923.5838232 N:   83, t: 29779627, dt: 19181, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  2.29, VEL_AVG: -0.08, I: -14.21, D:  0.19, VEL_OUT: -27.27, MS_MPC: 29581.98, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.15, gy:  0.24, gz:  0.24, OX:  0.01
1745416923.6203372 N:   84, t: 29799047, dt: 19420, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -14.35, D: -0.07, VEL_OUT: -30.82, MS_MPC: 29581.98, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.21, gy:  0.37, gz:  0.49, OX:  0.07
1745416923.6262786 N:   85, t: 29819901, dt: 20854, ENC_DEG: 60.51, REF:  0.00, VEL_RAW:  2.11, VEL_AVG:  0.21, I: -14.56, D: -0.06, VEL_OUT: -31.82, MS_MPC: 29580.79, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.21, gy:  0.31, gz:  0.24, OX:  0.01
1745416923.736393  N:   86, t: 29838155, dt: 18254, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -3.61, VEL_AVG: -0.29, I: -14.85, D: -0.09, VEL_OUT: -33.52, MS_MPC: 29582.57, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.09, gy: -0.12, gz:  0.00, OX:  0.03
