1745417419.2862263 N:   20, t: 32595447, dt: 23917, ENC_DEG: 31.91, REF:  0.00, VEL_RAW:  3.67, VEL_AVG: -0.30, I: -3.41, D: -0.10, VEL_OUT: -10.83, MS_MPC: 27397.23, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.12, gz:  0.27, OX:  0.01
1745417419.2919405 N:   21, t: 32612706, dt: 17259, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -2.55, VEL_AVG: -0.24, I: -3.65, D:  0.06, VEL_OUT: -9.09, MS_MPC: 27390.57, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.24, gy:  0.12, gz:  0.15, OX:  0.01
1745417419.3458555 N:   22, t: 32633853, dt: 21147, ENC_DEG: 31.84, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.02, I: -3.67, D:  0.22, VEL_OUT: -5.34, MS_MPC: 27387.23, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.06, gz:  0.21, OX:  0.00
1745417419.3523407 N:   23, t: 32651112, dt: 17259, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  1.27, VEL_AVG: -0.14, I: -3.81, D: -0.12, VEL_OUT: -10.22, MS_MPC: 27390.57, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.43, gz:  0.21, OX:  0.01
1745417419.3583424 N:   24, t: 32675457, dt: 24345, ENC_DEG: 31.80, REF:  0.00, VEL_RAW: -2.71, VEL_AVG: -0.37, I: -4.17, D: -0.23, VEL_OUT: -14.26, MS_MPC: 27380.56, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.31, gz:  0.27, OX: -0.01
1745417419.40586   N:   25, t: 32691354, dt: 15897, ENC_DEG: 31.95, REF:  0.00, VEL_RAW:  9.67, VEL_AVG:  0.53, I: -4.71, D: -0.17, VEL_OUT: -16.40, MS_MPC: 27403.88, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.31, gz:  0.21, OX: -0.01
1745417419.4604297 N:   26, t: 32711641, dt: 20287, ENC_DEG: 31.91, REF:  0.00, VEL_RAW: -2.17, VEL_AVG:  0.64, I: -5.35, D: -0.11, VEL_OUT: -18.26, MS_MPC: 27397.23, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.49, gz:  0.09, OX:  0.02
1745417419.4670126 N:   27, t: 32732999, dt: 21358, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -2.06, VEL_AVG:  0.32, I: -5.67, D:  0.33, VEL_OUT: -11.21, MS_MPC: 27390.57, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.24, gz:  0.15, OX:  0.01
1745417419.473194  N:   28, t: 32750992, dt: 17993, ENC_DEG: 31.84, REF:  0.00, VEL_RAW: -1.22, VEL_AVG: -0.17, I: -5.83, D:  0.15, VEL_OUT: -11.82, MS_MPC: 27387.23, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.24, gz:  0.40, OX: -0.01
1745417419.4787815 N:   29, t: 32774228, dt: 23236, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  1.89, VEL_AVG: -0.01, I: -5.84, D:  0.16, VEL_OUT: -10.19, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.49, gz:  0.09, OX:  0.02
1745417419.4847627 N:   30, t: 32791359, dt: 17131, ENC_DEG: 31.93, REF:  0.00, VEL_RAW:  2.57, VEL_AVG:  0.21, I: -6.05, D: -0.20, VEL_OUT: -16.12, MS_MPC: 27400.56, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.55, gz:  0.09, OX: -0.00
1745417419.58045   N:   31, t: 32815012, dt: 23653, ENC_DEG: 31.88, REF:  0.00, VEL_RAW: -1.86, VEL_AVG:  0.46, I: -6.50, D: -0.25, VEL_OUT: -20.09, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.00, gy:  0.37, gz:  0.27, OX: -0.00
1745417419.58635   N:   32, t: 32833006, dt: 17994, ENC_DEG: 31.84, REF:  0.00, VEL_RAW: -2.44, VEL_AVG: -0.05, I: -6.56, D:  0.40, VEL_OUT: -9.60, MS_MPC: 27387.23, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.24, gz:  0.27, OX:  0.02
1745417419.593337  N:   33, t: 32852193, dt: 19187, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.35, I: -6.91, D: -0.30, VEL_OUT: -20.28, MS_MPC: 27393.90, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.18, gz:  0.46, OX: -0.00
