Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3679,4640.0,28.7421875,36.25,Tar2,7.5078125
2,6151,7472.0,48.0546875,58.375,Tar1,10.3203125
3,9250,10539.0,72.265625,82.3359375,Tar3,10.0703125
4,12485,13496.0,97.5390625,105.4375,Tar3,7.8984375
5,15152,16103.0,118.375,125.8046875,Tar1,7.4296875
6,17887,18750.0,139.7421875,146.484375,Tar2,6.7421875
7,20224,21057.0,158.0,164.5078125,Tar1,6.5078125
8,23209,23979.0,181.3203125,187.3359375,Tar3,6.015625
9,25418,26259.0,198.578125,205.1484375,Tar2,6.5703125
10,27843,28674.0,217.5234375,224.015625,Tar2,6.4921875
11,30536,31433.0,238.5625,245.5703125,Tar1,7.0078125
12,33007,33799.0,257.8671875,264.0546875,Tar3,6.1875
13,35404,36276.0,276.59375,283.40625,Tar1,6.8125
14,37918,38733.0,296.234375,302.6015625,Tar2,6.3671875
15,40203,40842.0,314.0859375,319.078125,Tar3,4.9921875
16,42200,42865.0,329.6875,334.8828125,Tar3,5.1953125
17,44300,44949.0,346.09375,351.1640625,Tar2,5.0703125
18,46616,47296.0,364.1875,369.5,Tar1,5.3125
19,48732,49478.0,380.71875,386.546875,Tar2,5.828125
20,50860,51449.0,397.34375,401.9453125,Tar3,4.6015625
21,53092,53923.0,414.78125,421.2734375,Tar1,6.4921875
22,55926,56690.0,436.921875,442.890625,Tar3,5.96875
23,58031,58727.0,453.3671875,458.8046875,Tar1,5.4375
24,60211,61017.0,470.3984375,476.6953125,Tar2,6.296875
25,62496,63250.0,488.25,494.140625,Tar2,5.890625
26,64993,65611.0,507.7578125,512.5859375,Tar3,4.828125
27,66840,67487.0,522.1875,527.2421875,Tar1,5.0546875
28,68747,69476.0,537.0859375,542.78125,Tar1,5.6953125
29,70937,71572.0,554.1953125,559.15625,Tar3,4.9609375
30,72867,73519.0,569.2734375,574.3671875,Tar2,5.09375
