time,motor_top
28.109375,1010.992493
47.4921875,996.378388
71.640625,992.943067
96.890625,1003.212933
117.7734375,1054.745919
139.1171875,1031.251363
157.5703125,995.533073
180.671875,1017.566103
197.96875,1012.226442
216.8671875,1035.45497
237.8125,993.860418
257.390625,1037.446915
275.9296875,1034.810986
295.6875,1019.621815
313.5,1020.626726
329.234375,1000.244532
345.875,1005.47352
363.5703125,1017.781464
380.2734375,1009.253409
396.7890625,1010.793425
414.078125,1010.798037
436.1796875,1016.427872
452.953125,1000.583474
469.8515625,1018.006997
487.734375,1011.971239
507.296875,1012.9456
521.71875,1019.893365
536.5390625,1005.707926
553.765625,1004.784109
568.7734375,1000.260518
