time,az
11.345005,1.13
30.880198,1.31
54.840397,1.08
79.982525,1.13
101.06061,1.11
122.542438,1.16
140.8791,1.04
164.064378,1.08
181.258945,1.14
200.158881,1.05
221.339406,1.29
240.742525,1.15
259.278953,1.06
279.018645,1.2
296.859751,1.18
312.622574,1.04
328.999253,1.0
346.960087,1.2
363.540245,1.31
380.099498,1.09
397.444748,1.1
419.638691,1.16
436.123887,1.23
453.242984,1.23
471.198866,1.43
490.621681,1.11
504.90425,1.02
519.940229,1.21
537.119313,1.07
552.102926,1.08
